Name:		DI-NEARP-n422-Q16k
E6	309	310	14	13	27
E7	311	25	13	35	48
E8	312	313	80	174	254
E9	58	314	15	25	40
E10	315	314	34	106	140
E11	316	22	17	14	31
E12	36	7	11	1	12
E13	317	28	56	117	173
E14	318	319	51	7	58
E15	21	41	54	14	68
E16	9	317	20	71	91
E17	320	321	12	19	31
E18	320	204	45	40	85
E19	322	36	97	13	110
E20	9	323	75	154	229
E21	324	325	13	30	43
E22	8	25	66	238	304
E23	41	326	10	18	28
E24	327	97	47	15	62
E25	328	329	76	363	439
E26	311	329	46	7	53
E27	55	43	52	57	109
E28	330	322	73	67	140
E29	317	331	90	73	163
E30	332	333	14	36	50
E31	334	56	9	122	131
E32	335	336	55	351	406
E33	337	229	37	625	662
E34	338	339	12	154	166
E35	340	341	38	143	181
E36	342	343	17	34	51
E37	45	344	27	58	85
E38	345	74	18	88	106
E39	346	75	34	110	144
E40	347	348	30	7	37
E41	349	350	61	218	279
E42	351	352	10	7	17
E43	33	233	50	7	57
E44	353	354	62	44	106
E45	355	76	16	1	17
E46	356	346	37	137	174
E47	357	358	10	19	29
E48	359	354	41	7	48
E49	75	234	16	24	40
E50	97	234	49	150	199
E51	50	340	14	14	28
E52	61	340	44	7	51
E53	319	360	33	163	196
E54	231	361	27	7	34
E55	362	363	14	22	36
E56	364	365	44	65	109
E57	366	367	11	142	153
E58	48	368	20	76	96
E59	369	63	29	35	64
E60	370	371	28	643	671
E61	372	373	10	7	17
E62	374	110	19	52	71
E63	375	376	20	33	53
E64	377	245	24	7	31
E65	378	379	30	16	46
E66	380	381	45	25	70
E67	382	259	29	14	43
E68	383	384	30	14	44
E69	385	386	77	14	91
E70	387	388	20	23	43
E71	388	389	71	14	85
E72	390	391	32	97	129
E73	392	132	56	77	133
E74	391	393	17	1	18
E75	394	395	29	213	242
E76	296	277	11	11	22
E77	396	397	13	30	43
E78	398	397	41	109	150
E79	399	398	69	245	314
E80	139	400	27	37	64
E81	296	140	50	82	132
E82	143	401	49	34	83
E83	402	398	19	26	45
E84	149	403	12	1	13
E85	404	405	14	13	27
E86	406	287	11	14	25
E87	407	408	26	67	93
E88	170	143	45	54	99
E89	405	409	28	81	109
E90	410	200	12	28	40
E91	411	171	45	60	105
E92	165	402	14	41	55
E93	281	412	47	7	54
E94	413	414	63	279	342
E95	415	416	18	7	25
E96	417	415	23	40	63
E97	174	188	31	58	89
E98	175	176	39	246	285
E99	418	419	46	72	118
E100	400	420	32	7	39
E101	421	422	12	7	19
E102	423	178	11	4	15
E103	424	425	39	153	192
E104	426	398	37	195	232
E105	427	179	9	24	33
E106	428	180	21	57	78
E107	429	421	14	14	28
E108	430	287	18	50	68
E109	138	387	85	67	152
E110	186	174	48	7	55
E111	189	431	4	29	33
E112	432	433	28	55	83
E113	434	435	8	71	79
E114	436	418	66	105	171
E115	437	436	26	96	122
E116	438	439	24	56	80
E117	180	440	31	121	152
E118	201	432	23	76	99
E119	441	442	42	91	133
E120	443	175	8	1	9

EDGE	FROM N.	TO N.	T. COST
NrE1	444	445	689
NrE2	203	38	34
NrE3	446	447	26
NrE4	1	307	1
NrE5	448	449	4
NrE6	216	213	19
NrE7	2	3	2
NrE8	3	450	2
NrE9	2	450	1
NrE10	451	316	12
NrE11	452	372	4
NrE12	448	453	29
NrE13	454	455	5
NrE14	456	4	21
NrE15	454	338	1
NrE16	5	457	8
NrE17	5	458	42
NrE18	459	460	8
NrE19	444	461	164
NrE20	462	463	22
NrE21	464	465	10
NrE22	6	7	9
NrE23	365	369	293
NrE24	466	467	12
NrE25	8	9	8
NrE26	204	231	10
NrE27	444	244	245
NrE28	468	469	1
NrE29	306	10	5
NrE30	11	470	16
NrE31	465	12	7
NrE32	205	471	46
NrE33	209	445	18
NrE34	472	13	1
NrE35	473	14	9
NrE36	474	41	83
NrE37	472	475	8
NrE38	213	205	23
NrE39	206	364	2
NrE40	476	477	19
NrE41	207	15	13
NrE42	354	16	2
NrE43	463	196	233
NrE44	469	17	23
NrE45	474	356	4
NrE46	478	344	45
NrE47	19	479	6
NrE48	229	305	20
NrE49	480	20	57
NrE50	478	458	1
NrE51	458	29	5
NrE52	476	481	5
NrE53	21	336	7
NrE54	5	457	3
NrE55	203	22	9
NrE56	23	482	7
NrE57	473	483	11
NrE58	24	484	41
NrE59	485	208	4
NrE60	486	212	19
NrE61	23	483	6
NrE62	307	477	1
NrE63	485	487	3
NrE64	209	212	39
NrE65	15	488	18
NrE66	449	481	11
NrE67	306	476	8
NrE68	489	349	6
NrE69	490	26	38
NrE70	18	480	38
NrE71	10	453	3
NrE72	312	27	23
NrE73	491	492	2
NrE74	489	493	7
NrE75	494	28	9
NrE76	352	324	31
NrE77	29	40	19
NrE78	495	347	4
NrE79	324	496	1
NrE80	25	30	12
NrE81	6	497	1
NrE82	495	497	1
NrE83	11	467	7
NrE84	491	31	7
NrE85	465	498	10
NrE86	446	499	5
NrE87	32	215	23
NrE88	500	459	2
NrE89	466	500	13
NrE90	14	210	19
NrE91	487	501	4
NrE92	338	33	9
NrE93	446	17	3
NrE94	453	502	5
NrE95	491	503	2
NrE96	10	502	6
NrE97	504	505	3
NrE98	318	34	2
NrE99	354	479	8
NrE100	26	506	10
NrE101	450	20	16
NrE102	27	329	7
NrE103	6	495	2
NrE104	215	35	6
NrE105	447	507	9
NrE106	452	508	29
NrE107	505	508	1
NrE108	356	319	6
NrE109	462	211	8
NrE110	204	5	3
NrE111	4	68	43
NrE112	358	509	2
NrE113	211	510	4
NrE114	452	454	7
NrE115	13	460	9
NrE116	211	37	13
NrE117	27	30	8
NrE118	336	39	2
NrE119	473	23	12
NrE120	7	8	4
NrE121	21	28	3
NrE122	203	511	14
NrE123	213	512	8
NrE124	32	214	4
NrE125	206	513	4
NrE126	492	503	2
NrE127	4	514	12
NrE128	479	507	6
NrE129	481	455	16
NrE130	486	515	2
NrE131	471	480	1
NrE132	469	515	18
NrE133	42	516	4
NrE134	475	505	5
NrE135	493	355	8
NrE136	204	517	24
NrE137	517	43	3
NrE138	372	43	35
NrE139	448	208	10
NrE140	467	518	2
NrE141	464	214	6
NrE142	498	35	3
NrE143	214	342	21
NrE144	11	498	25
NrE145	464	215	5
NrE146	33	519	3
NrE147	519	320	5
NrE148	467	500	7
NrE149	486	499	14
NrE150	446	515	7
NrE151	216	364	8
NrE152	471	515	32
NrE153	497	36	16
NrE154	470	305	2
NrE155	520	325	1
NrE156	11	12	1
NrE157	229	459	7
NrE158	305	518	3
NrE159	38	332	18
NrE160	38	521	8
NrE161	44	522	3
NrE162	334	523	1
NrE163	449	455	9
NrE164	205	484	1
NrE165	484	217	7
NrE166	356	524	2
NrE167	466	521	37
NrE168	15	38	12
NrE169	478	309	14
NrE170	309	45	5
NrE171	468	20	12
NrE172	525	46	9
NrE173	525	351	6
NrE174	352	47	8
NrE175	498	215	6
NrE176	499	218	25
NrE177	516	218	5
NrE178	48	49	4
NrE179	487	91	4
NrE180	315	50	1
NrE181	327	51	6
NrE182	327	526	10
NrE183	364	308	7
NrE184	52	527	10
NrE185	24	528	14
NrE186	323	331	5
NrE187	314	44	1
NrE188	493	53	3
NrE189	327	54	1
NrE190	349	56	6
NrE191	529	530	1
NrE192	57	58	2
NrE193	224	531	1
NrE194	18	532	4
NrE195	219	353	3
NrE196	27	313	2
NrE197	526	533	1
NrE198	501	534	2
NrE199	330	59	5
NrE200	2	535	1
NrE201	315	57	5
NrE202	54	529	2
NrE203	44	60	1
NrE204	536	61	1
NrE205	210	220	29
NrE206	315	536	4
NrE207	49	368	2
NrE208	537	335	1
NrE209	1	502	7
NrE210	50	62	1
NrE211	34	56	3
NrE212	56	345	7
NrE213	509	102	16
NrE214	538	539	1
NrE215	492	540	5
NrE216	63	221	8
NrE217	316	72	36
NrE218	326	541	2
NrE219	542	64	4
NrE220	477	65	2
NrE221	323	366	3
NrE222	30	367	6
NrE223	533	66	2
NrE224	468	535	13
NrE225	463	483	10
NrE226	63	226	7
NrE227	67	222	1
NrE228	14	68	32
NrE229	24	103	53
NrE230	26	348	35
NrE231	526	543	1
NrE232	69	544	11
NrE233	545	70	1
NrE234	71	371	5
NrE235	546	223	4
NrE236	525	540	2
NrE237	334	547	7
NrE238	493	546	2
NrE239	447	503	17
NrE240	548	73	1
NrE241	318	523	2
NrE242	523	74	5
NrE243	46	540	12
NrE244	489	340	1
NrE245	547	76	1
NrE246	17	224	29
NrE247	59	549	7
NrE248	1	235	10
NrE249	508	75	11
NrE250	75	77	1
NrE251	55	550	5
NrE252	545	551	2
NrE253	488	225	3
NrE254	226	225	35
NrE255	226	78	3
NrE256	368	228	3
NrE257	212	552	7
NrE258	54	350	6
NrE259	345	553	2
NrE260	547	553	1
NrE261	542	79	9
NrE262	16	48	2
NrE263	447	516	16
NrE264	80	370	5
NrE265	554	81	1
NrE266	529	57	2
NrE267	475	82	4
NrE268	328	551	6
NrE269	35	230	11
NrE270	16	555	7
NrE271	549	83	6
NrE272	549	84	1
NrE273	556	85	1
NrE274	86	557	3
NrE275	312	551	2
NrE276	521	230	14
NrE277	31	72	15
NrE278	371	558	3
NrE279	49	59	4
NrE280	553	355	8
NrE281	548	346	3
NrE282	504	66	4
NrE283	51	559	1
NrE284	539	87	3
NrE285	460	88	2
NrE286	82	560	2
NrE287	312	89	3
NrE288	313	536	3
NrE289	313	90	1
NrE290	485	91	4
NrE291	314	561	4
NrE292	51	561	4
NrE293	543	234	17
NrE294	509	542	1
NrE295	534	363	1
NrE296	548	234	5
NrE297	314	60	1
NrE298	60	71	4
NrE299	323	367	2
NrE300	501	362	3
NrE301	522	561	1
NrE302	450	535	3
NrE303	334	345	1
NrE304	474	360	11
NrE305	366	232	4
NrE306	445	359	5
NrE307	12	69	12
NrE308	80	558	8
NrE309	233	321	4
NrE310	34	234	8
NrE311	32	333	14
NrE312	330	227	4
NrE313	518	337	5
NrE314	79	92	1
NrE315	93	562	3
NrE316	556	558	5
NrE317	366	546	4
NrE318	358	47	39
NrE319	519	339	6
NrE320	539	94	1
NrE321	47	95	4
NrE322	322	95	3
NrE323	367	546	9
NrE324	230	563	2
NrE325	564	96	1
NrE326	457	93	1
NrE327	228	227	4
NrE328	543	97	1
NrE329	533	236	4
NrE330	7	357	3
NrE331	71	89	6
NrE332	545	565	1
NrE333	538	565	2
NrE334	556	559	1
NrE335	559	98	1
NrE336	565	99	1
NrE337	538	100	1
NrE338	311	79	3
NrE339	488	52	2
NrE340	68	101	1
NrE341	3	554	36
NrE342	342	566	10
NrE343	46	67	17
NrE344	233	93	3
NrE345	528	237	2
NrE346	88	567	3
NrE347	57	350	7
NrE348	462	528	4
NrE349	517	373	14
NrE350	554	568	5
NrE351	472	86	7
NrE352	470	534	2
NrE353	507	238	6
NrE354	66	564	2
NrE355	508	564	2
NrE356	504	80	1
NrE357	522	569	1
NrE358	47	238	4
NrE359	570	104	9
NrE360	461	571	1198
NrE361	239	243	107
NrE362	244	252	81
NrE363	240	572	45
NrE364	104	573	12
NrE365	253	574	7
NrE366	573	248	40
NrE367	461	572	75
NrE368	242	575	15
NrE369	239	377	902
NrE370	379	576	31
NrE371	105	576	104
NrE372	577	578	51
NrE373	577	579	69
NrE374	580	581	56
NrE375	582	106	7
NrE376	583	584	121
NrE377	585	586	16
NrE378	587	588	61
NrE379	589	394	7
NrE380	579	590	44
NrE381	577	247	1
NrE382	107	108	41
NrE383	253	577	17
NrE384	241	109	11
NrE385	106	247	8
NrE386	591	592	142
NrE387	593	592	107
NrE388	105	245	58
NrE389	594	379	12
NrE390	573	593	116
NrE391	242	374	11
NrE392	248	591	14
NrE393	105	111	26
NrE394	590	595	16
NrE395	243	590	14
NrE396	596	597	162
NrE397	104	106	14
NrE398	240	243	7
NrE399	375	116	51
NrE400	241	598	19
NrE401	244	572	13
NrE402	252	599	8
NrE403	585	583	61
NrE404	579	600	62
NrE405	374	601	80
NrE406	583	602	4
NrE407	603	588	16
NrE408	245	604	12
NrE409	112	605	97
NrE410	251	606	14
NrE411	239	246	22
NrE412	578	600	17
NrE413	247	607	6
NrE414	576	602	164
NrE415	605	608	21
NrE416	248	578	12
NrE417	598	381	13
NrE418	603	596	9
NrE419	596	609	6
NrE420	252	249	23
NrE421	575	610	3
NrE422	264	250	43
NrE423	581	610	20
NrE424	591	600	25
NrE425	378	256	16
NrE426	587	584	7
NrE427	593	113	80
NrE428	594	584	36
NrE429	251	611	17
NrE430	249	611	11
NrE431	111	604	27
NrE432	604	114	43
NrE433	240	595	3
NrE434	598	571	35
NrE435	113	612	123
NrE436	253	246	37
NrE437	245	395	79
NrE438	585	586	15
NrE439	110	613	17
NrE440	109	571	42
NrE441	580	613	7
NrE442	595	611	25
NrE443	108	375	24
NrE444	581	602	21
NrE445	601	254	12
NrE446	575	614	4
NrE447	594	608	9
NrE448	579	115	1
NrE449	614	255	14
NrE450	108	615	4
NrE451	608	256	5
NrE452	580	255	24
NrE453	610	614	5
NrE454	378	116	3
NrE455	605	587	11
NrE456	241	110	62
NrE457	609	117	3
NrE458	601	117	30
NrE459	613	380	5
NrE460	590	115	27
NrE461	603	257	4
NrE462	257	616	1
NrE463	609	257	15
NrE464	261	120	61
NrE465	617	118	9
NrE466	119	618	45
NrE467	389	612	81
NrE468	258	619	58
NrE469	259	620	4
NrE470	261	618	5
NrE471	612	139	101
NrE472	606	120	14
NrE473	121	382	18
NrE474	122	621	100
NrE475	120	262	12
NrE476	622	623	3
NrE477	118	624	5
NrE478	625	626	11
NrE479	627	123	3
NrE480	122	262	10
NrE481	626	123	3
NrE482	592	259	7
NrE483	258	623	2
NrE484	618	628	5
NrE485	625	123	7
NrE486	606	263	12
NrE487	619	384	12
NrE488	629	385	81
NrE489	623	124	8
NrE490	258	622	4
NrE491	626	125	6
NrE492	124	630	82
NrE493	264	619	40
NrE494	121	386	64
NrE495	592	629	86
NrE496	262	260	6
NrE497	617	119	18
NrE498	617	289	22
NrE499	261	118	3
NrE500	622	125	4
NrE501	625	126	25
NrE502	629	386	10
NrE503	125	631	6
NrE504	391	632	50
NrE505	588	633	347
NrE506	634	274	2
NrE507	632	271	22
NrE508	635	265	17
NrE509	636	392	9
NrE510	266	633	100
NrE511	634	127	9
NrE512	112	635	31
NrE513	635	637	20
NrE514	128	638	3
NrE515	127	639	2
NrE516	638	270	12
NrE517	638	640	5
NrE518	637	272	11
NrE519	129	641	10
NrE520	128	640	22
NrE521	632	272	14
NrE522	642	273	10
NrE523	130	643	26
NrE524	634	267	9
NrE525	637	131	28
NrE526	273	130	12
NrE527	267	268	13
NrE528	392	639	22
NrE529	131	269	49
NrE530	270	268	17
NrE531	641	393	10
NrE532	128	271	11
NrE533	107	644	10
NrE534	266	269	6
NrE535	395	641	1
NrE536	265	272	12
NrE537	273	132	33
NrE538	274	639	1
NrE539	640	268	2
NrE540	266	275	15
NrE541	133	630	7
NrE542	586	588	2
NrE543	395	276	9
NrE544	272	645	7
NrE545	270	134	35
NrE546	377	276	2
NrE547	644	135	8
NrE548	265	644	5
NrE549	269	134	21
NrE550	129	393	6
NrE551	643	630	13
NrE552	112	646	8
NrE553	134	647	1
NrE554	643	136	1
NrE555	137	633	154
NrE556	277	443	22
NrE557	398	396	24
NrE558	399	165	17
NrE559	627	138	10
NrE560	627	126	3
NrE561	278	648	12
NrE562	649	650	28
NrE563	141	142	25
NrE564	651	144	20
NrE565	126	145	5
NrE566	652	146	9
NrE567	285	653	1
NrE568	147	654	62
NrE569	148	655	38
NrE570	651	146	86
NrE571	427	149	4
NrE572	656	292	13
NrE573	150	657	8
NrE574	404	658	5
NrE575	279	151	82
NrE576	148	658	17
NrE577	280	659	12
NrE578	280	152	1
NrE579	422	153	1
NrE580	149	154	7
NrE581	155	290	13
NrE582	153	660	10
NrE583	400	661	7
NrE584	427	662	3
NrE585	404	156	8
NrE586	663	664	133
NrE587	138	665	8
NrE588	289	157	22
NrE589	158	403	2
NrE590	159	666	7
NrE591	667	668	21
NrE592	397	408	8
NrE593	159	160	22
NrE594	659	282	11
NrE595	669	286	34
NrE596	161	162	19
NrE597	401	412	1
NrE598	670	441	6
NrE599	671	281	5
NrE600	163	173	5
NrE601	164	672	10
NrE602	164	673	8
NrE603	165	649	20
NrE604	674	415	6
NrE605	279	286	30
NrE606	166	167	9
NrE607	280	669	4
NrE608	156	168	18
NrE609	169	675	4
NrE610	668	163	10
NrE611	676	677	15
NrE612	410	171	11
NrE613	649	182	20
NrE614	411	678	10
NrE615	669	679	11
NrE616	408	680	7
NrE617	681	430	8
NrE618	411	423	15
NrE619	664	650	5
NrE620	680	424	7
NrE621	416	429	4
NrE622	172	682	3
NrE623	173	683	5
NrE624	652	168	1
NrE625	282	291	14
NrE626	141	150	12
NrE627	677	417	14
NrE628	659	664	11
NrE629	668	301	15
NrE630	283	433	5
NrE631	653	684	24
NrE632	169	291	39
NrE633	142	292	45
NrE634	663	168	13
NrE635	174	295	7
NrE636	137	673	64
NrE637	655	284	1
NrE638	155	157	6
NrE639	397	161	5
NrE640	680	430	5
NrE641	401	177	4
NrE642	148	168	6
NrE643	152	685	4
NrE644	676	417	4
NrE645	138	145	9
NrE646	662	162	10
NrE647	682	686	2
NrE648	174	686	6
NrE649	285	663	8
NrE650	658	405	8
NrE651	424	428	8
NrE652	151	169	50
NrE653	668	679	11
NrE654	162	418	4
NrE655	687	288	31
NrE656	173	387	7
NrE657	688	654	3
NrE658	160	164	12
NrE659	678	181	11
NrE660	410	178	2
NrE661	682	178	4
NrE662	677	288	8
NrE663	651	655	32
NrE664	149	158	3
NrE665	653	689	8
NrE666	153	290	11
NrE667	145	302	8
NrE668	441	283	8
NrE669	146	678	45
NrE670	147	690	193
NrE671	410	295	5
NrE672	285	688	21
NrE673	140	691	5
NrE674	290	692	11
NrE675	119	150	16
NrE676	676	687	7
NrE677	402	161	17
NrE678	650	297	22
NrE679	287	183	2
NrE680	385	180	49
NrE681	688	293	19
NrE682	184	300	7
NrE683	687	294	29
NrE684	429	693	4
NrE685	409	284	25
NrE686	667	673	19
NrE687	694	695	3
NrE688	137	301	14
NrE689	171	185	1
NrE690	671	185	4
NrE691	163	679	16
NrE692	187	696	6
NrE693	697	698	1
NrE694	295	188	1
NrE695	293	694	1
NrE696	412	166	1
NrE697	697	190	1
NrE698	699	191	1
NrE699	137	700	3
NrE700	278	299	11
NrE701	413	701	1
NrE702	166	294	38
NrE703	442	702	1
NrE704	295	699	2
NrE705	671	699	2
NrE706	154	192	4
NrE707	662	184	3
NrE708	423	193	1
NrE709	194	195	3
NrE710	195	703	2
NrE711	296	704	3
NrE712	655	196	37
NrE713	170	186	3
NrE714	705	197	2
NrE715	188	706	1
NrE716	152	297	19
NrE717	707	198	1
NrE718	176	698	1
NrE719	654	189	8
NrE720	705	432	7
NrE721	189	708	2
NrE722	698	199	1
NrE723	185	200	1
NrE724	684	194	2
NrE725	140	198	3
NrE726	281	201	2
NrE727	186	202	4
NrE728	701	434	1
NrE729	171	283	16
NrE730	184	701	2
NrE731	709	298	4
NrE732	705	201	5
NrE733	709	438	2
NrE734	667	301	31
NrE735	143	697	2
NrE736	652	187	2
NrE737	433	442	1
NrE738	300	434	6
NrE739	162	438	3
NrE740	156	194	13
NrE741	176	707	6
NrE742	140	707	4
NrE743	163	302	12
NrE744	694	703	7
NrE745	278	709	1
NrE746	684	703	6
NrE747	414	686	1
NrE748	175	710	4
NrE749	154	419	4
NrE750	420	428	3
NrE751	170	179	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST

ARC	FROM N.	TO N.	T. COST
