Name:		DI-NEARP-n477-Q2k
E59	276	42	67	25	92
E60	45	277	51	124	175
E61	50	278	12	11	23
E62	279	278	51	64	115
E63	280	51	17	57	74
E64	207	53	85	76	161
E65	281	282	24	38	62
E66	283	284	20	54	74
E67	285	55	27	43	70
E68	286	56	48	337	385
E69	287	288	85	12	97
E70	289	176	62	99	161
E71	290	230	32	68	100
E72	291	292	8	14	22
E73	24	293	11	7	18
E74	59	294	72	62	134
E75	206	60	84	88	172
E76	174	295	71	1	72
E77	36	296	8	14	22
E78	297	298	50	14	64
E79	299	300	80	200	280
E80	23	301	38	96	134
E81	302	303	9	1	10
E82	67	304	52	128	180
E83	67	177	57	82	139
E84	55	297	15	48	63
E85	305	306	18	45	63
E86	307	226	9	17	26
E87	308	307	58	9	67
E88	179	309	87	175	262
E89	141	310	14	26	40
E90	311	312	38	67	105
E91	313	256	82	83	165
E92	314	70	13	25	38
E93	74	315	15	12	27
E94	316	75	9	14	23
E95	317	318	9	12	21
E96	184	319	12	24	36
E97	76	320	9	7	16
E98	321	322	38	30	68
E99	235	323	71	327	398
E100	324	76	90	53	143
E101	325	97	16	37	53
E102	326	97	34	371	405
E103	327	328	88	54	142
E104	329	299	60	221	281
E105	257	219	34	85	119
E106	257	330	58	53	111
E107	331	78	24	55	79
E108	332	26	8	1	9
E109	333	334	88	76	164
E110	335	78	39	81	120
E111	70	80	9	17	26
E112	209	336	78	210	288
E113	285	183	72	280	352
E114	337	16	87	5	92
E115	284	73	49	132	181
E116	208	338	68	266	334
E117	255	285	10	19	29
E118	55	184	111	127	238
E119	339	329	62	140	202
E120	319	340	8	14	22
E121	341	342	22	14	36
E122	343	344	37	74	111
E123	345	197	90	75	165
E124	346	347	23	46	69
E125	346	348	56	13	69
E126	349	80	79	209	288
E127	350	351	77	42	119
E128	68	286	59	171	230
E129	84	72	19	30	49
E130	352	353	66	351	417
E131	354	355	80	84	164
E132	356	357	81	33	114
E133	358	260	25	7	32
E134	359	360	25	177	202
E135	218	206	11	26	37
E136	361	362	13	33	46
E137	363	331	43	81	124
E138	183	364	14	29	43
E139	365	366	41	122	163
E140	92	75	93	67	160
E141	93	7	10	43	53
E142	367	313	63	78	141
E143	353	368	72	33	105
E144	364	184	9	14	23
E145	369	258	84	93	177
E146	329	96	78	57	135
E147	295	370	80	95	175
E148	371	174	25	44	69
E149	370	174	47	89	136
E150	178	94	88	24	112
E151	44	372	16	23	39
E152	298	319	65	169	234
E153	254	278	12	14	26
E154	373	374	74	108	182
E155	375	376	31	115	146
E156	100	377	8	37	45
E157	297	378	21	15	36
E158	379	101	33	56	89
E159	279	380	49	77	126
E160	381	382	16	21	37
E161	383	232	18	15	33
E162	186	332	15	41	56
E163	384	44	31	6	37
E164	385	386	80	162	242
E165	387	388	12	18	30
E166	389	390	17	61	78
E167	389	314	14	63	77
E168	332	106	10	14	24
E169	391	392	13	19	32
E170	209	367	10	18	28
E171	393	394	77	126	203
E172	188	395	55	171	226
E173	396	397	26	50	76
E174	110	398	11	7	18
E175	367	255	100	74	174
E176	219	60	15	41	56
E177	399	400	102	99	201
E178	89	401	12	42	54
E179	392	111	23	54	77
E180	402	403	46	31	77
E181	369	196	36	79	115
E182	404	196	58	34	92
E183	288	331	33	54	87
E184	405	390	24	57	81
E185	278	406	54	7	61
E186	407	408	23	7	30
E187	409	240	28	60	88
E188	410	98	13	25	38
E189	411	305	17	24	41
E190	298	412	17	14	31
E191	120	121	7	23	30
E192	68	413	68	214	282
E193	414	415	121	252	373
E194	397	416	122	167	289
E195	366	417	34	99	133
E196	418	419	39	90	129
E197	420	291	11	19	30
E198	421	422	51	112	163
E199	187	423	62	172	234
E200	309	424	76	107	183
E201	425	426	81	96	177
E202	427	428	28	48	76
E203	276	429	59	227	286
E204	429	42	46	428	474
E205	190	364	90	23	113
E206	430	360	12	45	57
E207	71	192	78	78	156
E208	133	431	10	28	38
E209	94	251	10	4	14
E210	251	268	52	143	195
E211	432	433	8	14	22
E212	434	5	76	124	200
E213	435	436	15	41	56
E214	238	318	10	1	11
E215	110	195	12	4	16
E216	153	64	27	1	28
E217	310	225	58	14	72
E218	437	438	43	76	119
E219	439	440	38	84	122
E220	96	441	38	64	102
E221	197	96	8	7	15
E222	177	337	74	191	265
E223	442	430	11	31	42
E224	443	444	21	46	67
E225	445	63	24	51	75
E226	446	268	31	90	121
E227	415	447	34	10	44
E228	448	449	63	169	232
E229	450	451	43	113	156
E230	62	452	43	216	259
E231	108	45	12	18	30
E232	453	454	95	86	181
E233	106	358	8	14	22
E234	455	456	14	7	21
E235	316	457	7	14	21
E236	85	108	12	23	35
E237	458	459	94	202	296
E238	460	461	11	18	29
E239	148	462	83	50	133
E240	243	463	38	82	120
E241	464	347	72	7	79
E242	159	110	8	12	20
E243	123	215	80	131	211
E244	427	465	33	218	251
E245	466	467	11	14	25
E246	185	468	25	105	130
E247	469	470	35	156	191
E248	471	472	34	54	88
E249	150	62	40	282	322
E250	473	474	51	26	77
E251	475	455	26	63	89
E252	306	29	34	52	86
E253	476	102	25	36	61
E254	465	477	24	33	57
E255	433	291	86	80	166
E256	313	478	64	23	87
E257	461	479	81	63	144
E258	245	273	56	7	63
E259	480	339	9	35	44
E260	481	482	38	6	44
E261	149	160	30	50	80
E262	483	341	42	11	53
E263	358	484	23	55	78
E264	225	476	51	84	135
E265	380	406	57	154	211
E266	105	468	13	7	20
E267	485	188	8	14	22
E268	202	203	10	40	50
E269	486	487	7	27	34
E270	451	488	9	1	10
E271	488	489	39	54	93
E272	451	3	12	23	35
E273	490	491	14	75	89
E274	155	492	8	1	9

EDGE	FROM N.	TO N.	T. COST
NrE1	493	85	15
NrE2	2	3	3
NrE3	1	494	7
NrE4	495	496	9
NrE5	495	497	100
NrE6	496	498	14
NrE7	498	499	47
NrE8	498	500	61
NrE9	394	459	6
NrE10	322	501	21
NrE11	406	502	4
NrE12	495	503	5
NrE13	496	499	36
NrE14	504	505	7
NrE15	4	5	10
NrE16	21	506	31
NrE17	507	508	28
NrE18	509	168	21
NrE19	501	343	4
NrE20	397	6	10
NrE21	510	511	45
NrE22	210	211	15
NrE23	512	513	31
NrE24	514	513	39
NrE25	515	516	26
NrE26	517	518	20
NrE27	517	519	15
NrE28	382	213	1
NrE29	520	521	17
NrE30	355	247	10
NrE31	283	522	7
NrE32	7	8	11
NrE33	523	403	2
NrE34	251	244	4
NrE35	522	168	9
NrE36	9	10	4
NrE37	11	14	48
NrE38	524	138	5
NrE39	169	12	3
NrE40	221	525	6
NrE41	354	246	1
NrE42	526	527	52
NrE43	13	14	30
NrE44	505	231	15
NrE45	224	323	10
NrE46	528	529	7
NrE47	11	408	24
NrE48	9	15	10
NrE49	372	511	84
NrE50	499	503	7
NrE51	530	531	22
NrE52	532	533	3
NrE53	534	535	37
NrE54	229	17	2
NrE55	536	537	7
NrE56	18	19	8
NrE57	228	227	19
NrE58	238	474	3
NrE59	254	212	4
NrE60	302	23	7
NrE61	452	538	7
NrE62	539	170	2
NrE63	540	541	53
NrE64	517	542	3
NrE65	543	24	1
NrE66	394	386	6
NrE67	544	542	56
NrE68	545	546	5
NrE69	233	25	1
NrE70	503	508	60
NrE71	19	274	11
NrE72	26	547	7
NrE73	27	548	2
NrE74	237	333	1
NrE75	287	28	8
NrE76	493	549	32
NrE77	529	550	14
NrE78	536	315	16
NrE79	315	551	9
NrE80	540	552	23
NrE81	549	425	6
NrE82	379	175	16
NrE83	379	31	5
NrE84	208	514	12
NrE85	27	32	7
NrE86	529	553	19
NrE87	173	185	32
NrE88	554	33	5
NrE89	529	555	27
NrE90	556	557	29
NrE91	401	384	3
NrE92	558	559	5
NrE93	439	506	7
NrE94	539	560	2
NrE95	548	430	1
NrE96	265	127	10
NrE97	525	21	3
NrE98	526	500	50
NrE99	538	270	1
NrE100	437	154	9
NrE101	549	561	23
NrE102	519	562	11
NrE103	518	563	2
NrE104	564	565	1
NrE105	566	553	6
NrE106	346	345	10
NrE107	567	568	19
NrE108	569	570	2
NrE109	571	35	16
NrE110	526	572	16
NrE111	493	573	24
NrE112	283	574	92
NrE113	540	575	25
NrE114	559	531	23
NrE115	454	263	1
NrE116	576	37	8
NrE117	38	39	24
NrE118	510	577	5
NrE119	577	304	14
NrE120	40	578	7
NrE121	345	579	15
NrE122	343	181	8
NrE123	246	248	8
NrE124	269	580	2
NrE125	571	581	25
NrE126	525	386	8
NrE127	573	174	13
NrE128	582	387	17
NrE129	497	583	11
NrE130	550	584	134
NrE131	34	41	8
NrE132	401	417	2
NrE133	497	500	93
NrE134	585	586	25
NrE135	14	232	28
NrE136	575	587	9
NrE137	43	588	12
NrE138	540	40	5
NrE139	215	44	13
NrE140	46	47	6
NrE141	29	48	9
NrE142	589	530	22
NrE143	8	49	1
NrE144	585	590	7
NrE145	279	50	1
NrE146	589	591	32
NrE147	592	593	7
NrE148	594	52	10
NrE149	268	281	13
NrE150	584	284	27
NrE151	54	411	29
NrE152	302	516	9
NrE153	595	596	23
NrE154	548	359	4
NrE155	565	597	35
NrE156	541	598	4
NrE157	38	599	5
NrE158	501	546	18
NrE159	600	57	7
NrE160	539	58	1
NrE161	557	601	26
NrE162	231	602	26
NrE163	551	59	7
NrE164	53	60	11
NrE165	603	293	16
NrE166	266	577	4
NrE167	604	61	1
NrE168	442	62	9
NrE169	14	31	58
NrE170	274	273	1
NrE171	36	605	2
NrE172	486	490	6
NrE173	606	542	21
NrE174	215	607	25
NrE175	608	609	12
NrE176	351	63	6
NrE177	510	189	90
NrE178	257	64	4
NrE179	364	453	24
NrE180	26	65	8
NrE181	66	610	6
NrE182	470	471	1
NrE183	522	284	6
NrE184	541	533	22
NrE185	555	571	4
NrE186	597	611	51
NrE187	505	42	6
NrE188	426	68	9
NrE189	544	601	24
NrE190	556	612	10
NrE191	613	614	7
NrE192	598	615	10
NrE193	423	326	1
NrE194	616	617	5
NrE195	49	567	1
NrE196	69	317	5
NrE197	550	415	7
NrE198	172	211	10
NrE199	267	268	11
NrE200	235	70	2
NrE201	618	559	3
NrE202	506	619	4
NrE203	47	179	20
NrE204	209	180	15
NrE205	551	399	11
NrE206	71	350	9
NrE207	528	30	9
NrE208	308	72	16
NrE209	528	620	20
NrE210	73	455	22
NrE211	39	74	29
NrE212	579	621	43
NrE213	217	612	1
NrE214	38	392	55
NrE215	618	568	12
NrE216	77	321	2
NrE217	326	325	8
NrE218	265	67	12
NrE219	507	576	17
NrE220	227	75	8
NrE221	573	602	23
NrE222	339	79	1
NrE223	345	79	4
NrE224	592	535	5
NrE225	591	622	21
NrE226	16	416	19
NrE227	210	212	11
NrE228	181	623	8
NrE229	7	538	2
NrE230	309	81	10
NrE231	622	621	48
NrE232	583	82	42
NrE233	30	48	3
NrE234	576	391	19
NrE235	408	574	16
NrE236	516	619	46
NrE237	329	79	7
NrE238	612	478	1
NrE239	73	83	2
NrE240	47	84	13
NrE241	582	436	9
NrE242	356	460	1
NrE243	86	474	9
NrE244	317	335	1
NrE245	624	91	3
NrE246	509	521	6
NrE247	273	182	7
NrE248	603	611	17
NrE249	320	334	1
NrE250	241	242	1
NrE251	608	534	46
NrE252	432	625	19
NrE253	342	87	3
NrE254	88	89	2
NrE255	582	512	10
NrE256	534	606	30
NrE257	537	411	8
NrE258	626	363	5
NrE259	230	43	2
NrE260	90	627	1
NrE261	590	366	6
NrE262	613	579	12
NrE263	272	94	6
NrE264	83	628	9
NrE265	40	95	3
NrE266	616	185	6
NrE267	370	371	10
NrE268	509	520	18
NrE269	34	65	10
NrE270	520	83	4
NrE271	80	98	6
NrE272	629	630	8
NrE273	564	631	1
NrE274	63	75	9
NrE275	71	349	10
NrE276	567	443	5
NrE277	614	632	1
NrE278	527	598	22
NrE279	633	634	4
NrE280	69	99	4
NrE281	519	558	2
NrE282	590	365	1
NrE283	12	97	6
NrE284	556	609	12
NrE285	513	388	3
NrE286	615	624	6
NrE287	78	635	2
NrE288	612	595	25
NrE289	583	82	5
NrE290	102	424	8
NrE291	311	421	10
NrE292	252	421	9
NrE293	48	280	8
NrE294	553	574	20
NrE295	388	433	3
NrE296	556	336	1
NrE297	636	103	11
NrE298	399	383	11
NrE299	557	595	15
NrE300	518	562	3
NrE301	560	637	1
NrE302	365	637	4
NrE303	565	638	1
NrE304	229	275	1
NrE305	175	104	6
NrE306	537	636	16
NrE307	101	104	10
NrE308	90	105	1
NrE309	587	568	2
NrE310	357	438	10
NrE311	97	187	10
NrE312	107	639	5
NrE313	361	108	3
NrE314	593	624	5
NrE315	504	12	14
NrE316	15	92	6
NrE317	631	638	2
NrE318	615	606	10
NrE319	640	641	1
NrE320	93	100	6
NrE321	109	396	5
NrE322	545	87	2
NrE323	219	330	10
NrE324	608	601	28
NrE325	95	484	7
NrE326	507	508	26
NrE327	547	564	11
NrE328	511	611	12
NrE329	189	402	13
NrE330	31	642	12
NrE331	190	643	24
NrE332	426	625	27
NrE333	11	37	15
NrE334	56	413	1
NrE335	376	405	1
NrE336	355	566	5
NrE337	515	546	4
NrE338	306	178	1
NrE339	603	112	26
NrE340	275	113	6
NrE341	637	114	4
NrE342	342	115	2
NrE343	644	116	1
NrE344	170	645	1
NrE345	646	117	1
NrE346	59	214	10
NrE347	368	395	1
NrE348	303	647	3
NrE349	304	337	11
NrE350	324	236	1
NrE351	299	617	1
NrE352	352	485	1
NrE353	191	648	10
NrE354	587	638	5
NrE355	502	462	7
NrE356	63	192	9
NrE357	77	193	1
NrE358	246	118	1
NrE359	205	119	1
NrE360	296	608	1
NrE361	543	122	5
NrE362	122	123	3
NrE363	607	89	2
NrE364	512	535	9
NrE365	378	649	2
NrE366	629	650	8
NrE367	602	619	55
NrE368	644	124	6
NrE369	125	651	2
NrE370	552	457	6
NrE371	586	604	5
NrE372	366	126	2
NrE373	72	310	1
NrE374	74	111	7
NrE375	323	349	9
NrE376	524	417	3
NrE377	242	630	10
NrE378	527	561	20
NrE379	521	402	10
NrE380	575	631	3
NrE381	557	621	27
NrE382	536	128	1
NrE383	636	128	24
NrE384	544	591	13
NrE385	129	130	3
NrE386	561	131	12
NrE387	640	652	3
NrE388	247	620	9
NrE389	52	84	7
NrE390	566	479	10
NrE391	256	132	3
NrE392	53	176	16
NrE393	53	285	14
NrE394	27	133	3
NrE395	105	480	2
NrE396	369	404	13
NrE397	422	653	1
NrE398	584	127	1
NrE399	321	193	2
NrE400	328	264	8
NrE401	590	482	3
NrE402	555	66	1
NrE403	654	458	1
NrE404	19	48	9
NrE405	543	603	2
NrE406	288	99	2
NrE407	614	327	16
NrE408	586	622	16
NrE409	589	622	11
NrE410	52	651	5
NrE411	651	134	1
NrE412	338	609	1
NrE413	353	135	4
NrE414	585	136	4
NrE415	305	137	6
NrE416	76	137	4
NrE417	613	632	7
NrE418	234	400	1
NrE419	607	122	2
NrE420	560	472	3
NrE421	34	139	6
NrE422	435	194	3
NrE423	194	436	7
NrE424	252	418	9
NrE425	98	192	5
NrE426	81	140	2
NrE427	196	64	15
NrE428	308	141	3
NrE429	415	142	3
NrE430	558	530	12
NrE431	572	532	3
NrE432	10	95	8
NrE433	572	552	4
NrE434	459	223	6
NrE435	15	424	1
NrE436	596	632	11
NrE437	581	597	16
NrE438	439	418	10
NrE439	197	348	9
NrE440	262	434	1
NrE441	618	562	5
NrE442	567	444	7
NrE443	39	128	17
NrE444	581	143	5
NrE445	238	198	7
NrE446	625	436	14
NrE447	588	290	2
NrE448	655	656	12
NrE449	9	374	5
NrE450	81	373	5
NrE451	416	107	1
NrE452	442	431	3
NrE453	91	436	8
NrE454	514	249	2
NrE455	616	644	11
NrE456	294	144	1
NrE457	452	271	1
NrE458	341	191	4
NrE459	592	593	4
NrE460	145	657	2
NrE461	492	146	1
NrE462	547	259	7
NrE463	545	145	2
NrE464	357	479	10
NrE465	524	384	2
NrE466	139	147	2
NrE467	432	369	1
NrE468	316	148	5
NrE469	314	390	1
NrE470	348	347	1
NrE471	293	110	9
NrE472	350	92	7
NrE473	5	137	8
NrE474	180	466	3
NrE475	33	65	1
NrE476	82	125	5
NrE477	620	135	1
NrE478	224	141	7
NrE479	381	144	1
NrE480	617	480	33
NrE481	640	658	5
NrE482	328	464	1
NrE483	641	625	2
NrE484	145	149	4
NrE485	93	431	2
NrE486	659	151	1
NrE487	362	448	1
NrE488	173	198	4
NrE489	152	473	9
NrE490	240	100	12
NrE491	604	86	3
NrE492	659	153	2
NrE493	346	327	9
NrE494	327	453	9
NrE495	515	616	32
NrE496	258	420	1
NrE497	643	453	17
NrE498	120	199	5
NrE499	130	660	1
NrE500	444	469	1
NrE501	150	661	11
NrE502	428	662	1
NrE503	348	441	2
NrE504	596	643	4
NrE505	241	155	4
NrE506	655	465	8
NrE507	183	132	8
NrE508	469	663	2
NrE509	8	156	5
NrE510	277	449	1
NrE511	147	157	2
NrE512	614	643	9
NrE513	650	199	8
NrE514	173	158	1
NrE515	115	129	3
NrE516	129	149	5
NrE517	290	650	3
NrE518	588	112	1
NrE519	646	531	4
NrE520	492	156	3
NrE521	360	150	1
NrE522	427	656	5
NrE523	87	657	2
NrE524	215	159	12
NrE525	245	664	6
NrE526	322	656	6
NrE527	569	481	2
NrE528	641	161	2
NrE529	139	162	4
NrE530	476	200	2
NrE531	207	467	1
NrE532	115	657	3
NrE533	493	426	8
NrE534	597	163	8
NrE535	470	570	2
NrE536	293	159	3
NrE537	64	659	4
NrE538	658	164	2
NrE539	658	165	1
NrE540	569	646	4
NrE541	104	154	2
NrE542	570	201	2
NrE543	634	166	7
NrE544	504	634	6
NrE545	121	202	2
NrE546	131	652	3
NrE547	640	167	7
NrE548	490	487	4
NrE549	203	487	7
NrE550	273	665	5
NrE551	655	488	12
NrE552	3	204	4
NrE553	652	167	5
NrE554	600	532	6
NrE555	600	533	7
NrE556	630	491	19
NrE557	22	121	3
NrE558	629	666	1
NrE559	120	666	6
NrE560	486	666	3
NrE561	502	526	7
NrE562	287	138	3
NrE563	138	667	22

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST

ARC	FROM N.	TO N.	T. COST
