Name:		DI-NEARP-n833-Q16k
N317	32	32
N318	33	33
N319	76	76
N320	73	73
N321	16	16
N322	82	82
N323	14	14
N324	659	659
N325	42	42
N326	56	56
N327	69	69
N328	166	166
N329	236	236
N330	60	60
N331	58	58
N332	97	97
N333	10	10
N334	73	73
N335	42	42
N336	7	7
N337	169	169
N338	23	23
N339	9	9
N340	27	27
N341	11	11
N342	15	15
N343	20	20
N344	119	119
N345	23	23
N346	20	20
N347	26	26

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	348	349	12	7	19
E2	350	351	17	51	68
E3	352	353	49	29	78
E4	354	355	29	133	162
E5	4	5	29	64	93
E6	5	356	56	112	168
E7	200	357	46	77	123
E8	357	358	126	190	316
E9	358	359	14	45	59
E10	6	360	9	37	46
E11	361	3	13	39	52
E12	362	363	8	27	35
E13	364	365	139	353	492
E14	366	367	77	216	293
E15	367	368	19	74	93
E16	369	370	22	33	55
E17	371	372	109	1591	1700
E18	373	374	7	33	40
E19	374	375	36	79	115
E20	376	377	24	69	93
E21	377	378	5	48	53
E22	378	379	13	175	188
E23	380	381	28	56	84
E24	382	383	23	46	69
E25	383	384	15	7	22
E26	385	386	9	21	30
E27	386	14	21	51	72
E28	387	16	21	27	48
E29	386	18	35	22	57
E30	367	19	7	38	45
E31	22	388	48	41	89
E32	389	390	27	60	87
E33	390	23	13	34	47
E34	25	391	14	52	66
E35	26	27	36	74	110
E36	29	392	28	75	103
E37	393	394	20	60	80
E38	395	396	41	38	79
E39	31	397	29	42	71
E40	33	398	19	7	26
E41	398	399	63	37	100
E42	400	401	35	37	72
E43	34	402	17	19	36
E44	403	404	19	371	390
E45	404	405	24	323	347
E46	405	406	22	759	781
E47	407	408	48	161	209
E48	37	409	50	146	196
E49	174	410	47	68	115
E50	411	412	13	27	40
E51	413	414	134	188	322
E52	414	415	33	89	122
E53	416	417	45	67	112
E54	417	418	7	21	28
E55	418	419	15	56	71
E56	419	420	67	76	143
E57	44	421	17	22	39
E58	421	46	24	81	105
E59	422	47	12	368	380
E60	423	424	19	74	93
E61	425	426	17	35	52
E62	427	48	22	35	57
E63	428	429	69	114	183
E64	307	430	29	48	77
E65	33	315	20	88	108
E66	431	50	10	19	29
E67	432	433	39	40	79
E68	434	53	101	142	243
E69	53	435	17	26	43
E70	55	436	16	93	109
E71	56	437	13	42	55
E72	437	51	85	166	251
E73	438	439	31	87	118
E74	439	294	9	12	21
E75	57	440	70	136	206
E76	441	442	17	21	38
E77	417	443	19	34	53
E78	443	444	61	109	170
E79	445	446	44	74	118
E80	447	312	26	39	65
E81	448	449	12	9	21
E82	450	60	18	16	34
E83	60	451	14	21	35
E84	452	453	37	22	59
E85	65	64	27	103	130
E86	454	455	66	103	169
E87	456	457	23	35	58
E88	66	458	40	71	111
E89	458	459	15	46	61
E90	67	68	10	15	25
E91	460	321	17	12	29
E92	17	461	15	56	71
E93	461	69	31	53	84
E94	69	462	7	26	33
E95	463	464	17	7	24
E96	465	466	34	40	74
E97	344	467	27	131	158
E98	468	469	11	42	53
E99	469	470	14	21	35
E100	471	11	6	7	13
E101	11	472	11	63	74
E102	473	72	19	61	80
E103	72	454	20	43	63
E104	400	73	15	20	35
E105	76	413	13	52	65
E106	79	474	34	65	99
E107	475	81	13	7	20
E108	81	476	37	91	128
E109	477	478	38	46	84
E110	479	480	40	68	108
E111	481	482	54	75	129
E112	483	88	78	7	85
E113	484	57	14	44	58
E114	57	296	14	57	71
E115	485	486	18	7	25
E116	37	487	32	207	239
E117	409	89	47	72	119
E118	488	297	49	51	100
E119	481	489	21	24	45
E120	490	54	18	27	45
E121	431	437	6	31	37
E122	491	492	43	10	53
E123	94	493	9	48	57
E124	494	495	6	37	43
E125	496	497	23	7	30
E126	498	499	59	126	185
E127	500	501	23	196	219
E128	502	501	9	103	112
E129	425	503	46	139	185
E130	504	24	18	28	46
E131	24	505	27	49	76
E132	506	507	13	7	20
E133	508	509	155	14	169
E134	510	511	157	185	342
E135	511	512	16	29	45
E136	513	514	18	43	61
E137	515	516	35	53	88
E138	517	518	26	14	40
E139	298	519	35	61	96
E140	520	449	53	85	138
E141	449	521	11	7	18
E142	522	523	36	73	109
E143	435	470	61	140	201
E144	470	434	12	26	38
E145	524	525	35	101	136
E146	526	527	20	35	55
E147	528	529	18	192	210
E148	529	530	15	43	58
E149	531	532	9	35	44
E150	533	534	70	1017	1087
E151	535	308	47	422	469
E152	536	537	36	393	429
E153	537	535	100	1712	1812
E154	538	539	27	1798	1825
E155	539	540	92	1646	1738
E156	104	541	62	70	132
E157	542	543	20	26	46
E158	543	43	11	15	26
E159	80	544	53	94	147
E160	545	105	18	26	44
E161	105	546	12	33	45
E162	546	547	17	33	50
E163	547	548	14	49	63
E164	549	289	8	7	15
E165	289	550	6	14	20
E166	551	552	17	33	50
E167	553	554	40	91	131
E168	555	108	24	158	182
E169	556	557	67	92	159
E170	557	76	28	66	94
E171	76	83	22	36	58
E172	558	559	12	2	14
E173	404	112	8	32	40
E174	361	560	7	26	33
E175	116	561	9	66	75
E176	561	562	49	96	145
E177	563	564	73	100	173
E178	564	565	78	117	195
E179	117	566	74	141	215
E180	118	567	40	15	55
E181	568	569	56	1	57
E182	568	570	18	34	52
E183	571	572	10	24	34
E184	573	574	7	1	8
E185	575	576	20	73	93
E186	577	578	16	32	48
E187	391	579	22	28	50
E188	379	580	30	41	71
E189	121	581	18	49	67
E190	580	582	26	49	75
E191	583	584	38	88	126
E192	122	114	54	143	197
E193	585	586	28	52	80
E194	587	489	48	106	154
E195	489	123	31	76	107
E196	123	26	29	73	102
E197	588	589	34	68	102
E198	589	124	16	77	93
E199	590	73	26	77	103
E200	591	592	132	190	322
E201	125	126	12	33	45
E202	593	43	30	86	116
E203	421	446	32	61	93
E204	446	46	31	40	71
E205	594	128	20	22	42
E206	131	595	9	182	191
E207	132	596	49	60	109
E208	597	598	84	837	921
E209	598	599	26	379	405
E210	600	372	10	31	41
E211	601	133	12	20	32
E212	133	602	10	8	18
E213	603	134	117	30	147
E214	134	8	18	69	87
E215	8	604	25	14	39
E216	605	135	42	118	160
E217	602	603	11	12	23
E218	606	607	17	14	31
E219	136	41	24	68	92
E220	41	608	52	123	175
E221	609	610	109	244	353
E222	611	612	48	7	55
E223	79	613	26	54	80
E224	614	615	14	24	38
E225	112	350	19	55	74
E226	138	139	16	498	514
E227	616	617	11	66	77
E228	543	439	19	38	57
E229	618	141	36	75	111
E230	468	340	35	91	126
E231	142	619	7	31	38
E232	620	621	39	773	812
E233	143	622	37	125	162
E234	593	542	9	105	114
E235	347	346	6	39	45
E236	438	623	16	46	62
E237	623	624	12	7	19
E238	625	626	69	45	114
E239	130	627	8	31	39
E240	627	616	13	24	37
E241	628	145	12	14	26
E242	145	408	11	169	180
E243	629	630	55	76	131
E244	631	632	19	22	41
E245	632	290	34	36	70
E246	562	560	16	129	145
E247	352	633	27	66	93
E248	147	634	35	385	420
E249	595	561	28	193	221
E250	635	636	16	14	30
E251	636	637	16	30	46
E252	638	351	12	39	51
E253	77	639	19	26	45
E254	640	641	29	127	156
E255	641	642	17	16	33
E256	564	307	46	71	117
E257	643	644	51	76	127
E258	22	645	40	127	167
E259	601	646	13	39	52
E260	149	150	30	71	101
E261	647	603	25	45	70
E262	603	648	88	134	222
E263	648	151	15	16	31
E264	151	649	9	28	37
E265	649	152	29	52	81
E266	152	650	28	33	61
E267	153	651	26	58	84
E268	651	376	43	107	150
E269	376	623	93	164	257
E270	623	484	56	128	184
E271	484	652	81	27	108
E272	648	653	43	60	103
E273	654	34	24	34	58
E274	34	7	33	84	117
E275	7	655	15	64	79
E276	131	116	24	66	90
E277	656	87	68	106	174
E278	157	657	34	58	92
E279	124	557	13	14	27
E280	658	597	61	729	790
E281	597	659	38	1407	1445
E282	522	660	20	24	44
E283	661	662	87	135	222
E284	663	349	57	61	118
E285	349	490	28	74	102
E286	309	159	109	174	283
E287	664	665	27	15	42
E288	666	524	38	75	113
E289	524	667	17	30	47
E290	667	416	16	23	39
E291	668	669	51	12	63
E292	314	551	18	28	46
E293	551	166	9	33	42
E294	670	167	15	31	46
E295	167	671	11	29	40
E296	672	673	17	71	88
E297	673	578	15	124	139
E298	674	675	25	57	82
E299	675	385	13	33	46
E300	676	483	16	21	37
E301	483	169	19	21	40
E302	169	104	75	148	223
E303	104	677	58	87	145
E304	677	170	34	51	85
E305	678	679	22	26	48
E306	679	680	26	44	70
E307	681	126	11	7	18
E308	682	424	62	319	381
E309	683	684	32	64	96
E310	684	655	22	49	71
E311	675	685	110	356	466
E312	686	172	39	50	89
E313	687	688	22	45	67
E314	173	558	4	12	16
E315	400	689	47	53	100
E316	390	504	17	27	44
E317	690	691	12	21	33
E318	511	49	29	41	70
E319	692	676	24	56	80
E320	676	693	27	29	56
E321	694	138	12	59	71
E322	695	696	9	70	79
E323	697	673	10	39	49
E324	180	698	149	177	326
E325	698	699	64	91	155
E326	313	653	99	94	193
E327	700	182	19	21	40
E328	701	702	161	120	281
E329	504	703	28	94	122
E330	255	704	18	50	68
E331	705	706	20	19	39
E332	107	600	9	14	23
E333	600	707	16	21	37
E334	183	708	13	10	23
E335	709	184	10	42	52
E336	184	146	9	11	20
E337	710	711	23	26	49
E338	712	713	9	28	37
E339	713	10	15	4	19
E340	397	714	13	88	101
E341	715	683	30	68	98
E342	716	717	48	47	95
E343	718	716	18	7	25
E344	260	719	36	12	48
E345	719	717	10	1	11
E346	168	108	5	2	7
E347	720	721	90	81	171
E348	722	723	45	77	122
E349	364	722	24	50	74
E350	724	725	14	20	34
E351	726	727	24	14	38
E352	214	728	7	31	38
E353	729	730	24	87	111
E354	731	411	16	39	55
E355	732	733	9	20	29
E356	734	369	17	36	53
E357	229	632	5	1	6
E358	409	735	59	185	244
E359	736	737	46	7	53
E360	738	739	36	924	960
E361	725	429	97	49	146
E362	740	129	17	88	105
E363	598	741	51	755	806
E364	249	742	25	42	67
E365	609	743	22	31	53
E366	618	359	30	7	37
E367	252	744	6	26	32
E368	745	253	33	62	95
E369	180	746	30	95	125
E370	182	747	18	29	47
E371	703	254	22	69	91
E372	317	255	23	92	115
E373	748	749	8	52	60
E374	749	750	22	31	53
E375	751	752	14	46	60
E376	752	753	16	62	78
E377	719	754	19	1	20
E378	755	756	18	64	82
E379	757	758	141	312	453
E380	759	757	40	188	228
E381	760	761	63	175	238
E382	762	763	15	39	54
E383	763	261	20	65	85
E384	764	500	29	104	133
E385	765	365	21	54	75
E386	766	767	23	62	85
E387	15	768	41	63	104
E388	769	770	17	79	96
E389	627	628	14	34	48
E390	771	772	347	126	473
E391	290	773	20	100	120
E392	774	220	24	69	93
E393	775	776	23	35	58
E394	724	710	10	7	17
E395	247	777	59	65	124
E396	778	779	48	50	98
E397	514	559	11	17	28
E398	132	780	30	73	103
E399	485	781	27	28	55
E400	781	782	19	7	26
E401	783	626	25	2	27
E402	573	147	11	4	15
E403	784	785	8	15	23
E404	165	786	63	130	193
E405	786	787	72	126	198
E406	788	789	23	26	49
E407	790	791	54	27	81
E408	792	793	7	43	50
E409	793	266	9	14	23
E410	794	574	17	74	91
E411	574	795	14	51	65
E412	267	160	15	35	50
E413	796	797	11	1	12
E414	785	277	50	41	91
E415	456	455	88	167	255
E416	455	798	48	41	89
E417	799	90	8	26	34
E418	639	59	15	42	57
E419	111	800	10	33	43
E420	800	199	19	42	61
E421	200	661	42	83	125
E422	661	801	19	65	84
E423	1	348	5	14	19
E424	201	645	15	52	67
E425	322	802	23	224	247
E426	803	804	3	14	17
E427	805	806	61	17	78
E428	498	563	13	44	57
E429	563	807	9	22	31
E430	340	469	5	38	43
E431	469	4	11	14	25
E432	808	172	15	24	39
E433	478	74	15	73	88
E434	74	809	25	49	74
E435	810	423	13	39	52
E436	423	811	22	28	50
E437	811	683	21	75	96
E438	375	812	40	55	95
E439	812	813	15	69	84
E440	814	685	44	122	166
E441	815	816	31	71	102
E442	463	190	36	15	51
E443	190	234	13	22	35
E444	690	817	23	115	138
E445	571	216	29	24	53
E446	216	9	88	38	126
E447	818	819	9	57	66
E448	820	821	33	13	46
E449	822	770	35	126	161
E450	823	187	13	78	91
E451	729	452	4	7	11
E452	223	824	49	72	121
E453	824	102	14	26	40
E454	102	825	14	54	68
E455	394	636	17	33	50
E456	562	826	9	26	35
E457	827	656	14	7	21
E458	828	382	11	17	28
E459	382	18	28	94	122
E460	448	521	22	23	45
E461	541	829	45	53	98
E462	830	122	12	114	126
E463	174	831	13	28	41
E464	832	659	42	209	251
E465	549	471	27	129	156
E466	575	833	16	112	128
E467	833	279	29	205	234
E468	142	834	22	303	325
E469	835	836	5	238	243
E470	836	837	14	430	444
E471	837	838	26	212	238
E472	184	529	5	151	156
E473	529	839	6	249	255
E474	173	840	16	119	135
E475	86	841	15	15	30
E476	343	842	8	22	30
E477	842	697	18	109	127
E478	697	577	10	30	40
E479	843	278	12	12	24
E480	844	845	49	1009	1058
E481	846	847	92	1769	1861
E482	848	849	64	503	567
E483	850	620	27	120	147
E484	851	852	41	895	936
E485	853	854	57	72	129
E486	855	286	30	14	44

EDGE	FROM N.	TO N.	T. COST
NrE1	1	359	31
NrE2	651	377	20
NrE3	301	588	28
NrE4	548	319	62
NrE5	2	856	16
NrE6	288	350	16
NrE7	351	3	19
NrE8	3	352	15
NrE9	356	357	75
NrE10	360	361	6
NrE11	7	682	29
NrE12	8	362	36
NrE13	857	9	8
NrE14	10	11	13
NrE15	11	289	12
NrE16	858	764	182
NrE17	859	366	19
NrE18	368	860	6
NrE19	860	861	12
NrE20	290	12	13
NrE21	12	369	8
NrE22	370	862	2
NrE23	862	371	14
NrE24	863	764	12
NrE25	13	373	6
NrE26	379	582	14
NrE27	582	380	3
NrE28	384	386	14
NrE29	14	15	7
NrE30	15	387	13
NrE31	16	17	11
NrE32	19	20	13
NrE33	19	864	17
NrE34	837	21	8
NrE35	21	291	13
NrE36	291	292	8
NrE37	23	865	11
NrE38	23	24	22
NrE39	866	867	16
NrE40	868	479	28
NrE41	479	26	31
NrE42	27	28	32
NrE43	652	293	1
NrE44	293	869	65
NrE45	392	393	15
NrE46	396	30	23
NrE47	399	707	34
NrE48	707	32	38
NrE49	32	870	4
NrE50	395	870	20
NrE51	12	33	22
NrE52	871	401	52
NrE53	681	34	29
NrE54	402	872	15
NrE55	35	403	15
NrE56	404	873	22
NrE57	406	302	14
NrE58	302	407	1
NrE59	302	874	32
NrE60	356	36	21
NrE61	875	876	166
NrE62	876	877	10
NrE63	877	37	20
NrE64	37	38	122
NrE65	863	38	25
NrE66	863	766	67
NrE67	766	878	2
NrE68	878	39	16
NrE69	858	39	3
NrE70	412	40	6
NrE71	40	525	14
NrE72	525	41	22
NrE73	41	443	22
NrE74	800	42	27
NrE75	42	413	20
NrE76	415	879	7
NrE77	415	462	8
NrE78	43	294	34
NrE79	420	44	17
NrE80	45	421	18
NrE81	870	372	29
NrE82	508	48	43
NrE83	48	880	7
NrE84	880	428	3
NrE85	880	49	17
NrE86	881	430	48
NrE87	50	447	3
NrE88	447	51	37
NrE89	51	432	20
NrE90	432	52	8
NrE91	54	55	27
NrE92	436	56	7
NrE93	294	57	20
NrE94	484	58	1
NrE95	417	59	21
NrE96	444	882	8
NrE97	882	445	20
NrE98	449	60	36
NrE99	451	61	1
NrE100	453	62	12
NrE101	587	63	25
NrE102	63	64	18
NrE103	883	456	1
NrE104	457	66	4
NrE105	459	67	17
NrE106	458	460	10
NrE107	321	787	8
NrE108	35	621	41
NrE109	288	35	16
NrE110	465	633	41
NrE111	467	884	12
NrE112	396	468	26
NrE113	70	885	53
NrE114	886	71	18
NrE115	71	473	19
NrE116	871	887	3
NrE117	871	400	15
NrE118	73	74	14
NrE119	74	888	13
NrE120	888	75	1
NrE121	75	76	13
NrE122	295	732	28
NrE123	732	77	14
NrE124	77	78	9
NrE125	78	79	8
NrE126	18	80	22
NrE127	80	519	32
NrE128	889	82	4
NrE129	82	477	9
NrE130	477	83	21
NrE131	798	84	18
NrE132	84	890	4
NrE133	890	891	2
NrE134	891	85	9
NrE135	85	892	36
NrE136	892	774	18
NrE137	774	893	41
NrE138	893	894	9
NrE139	894	760	8
NrE140	479	481	47
NrE141	895	86	13
NrE142	896	897	11
NrE143	705	87	12
NrE144	87	483	17
NrE145	483	693	20
NrE146	693	88	6
NrE147	296	440	19
NrE148	486	898	16
NrE149	877	487	58
NrE150	487	89	63
NrE151	89	488	8
NrE152	297	899	29
NrE153	90	480	12
NrE154	54	91	17
NrE155	431	91	4
NrE156	92	900	39
NrE157	900	93	7
NrE158	389	93	14
NrE159	442	491	20
NrE160	493	494	4
NrE161	494	410	12
NrE162	81	641	31
NrE163	95	901	45
NrE164	68	497	26
NrE165	38	501	69
NrE166	782	96	3
NrE167	96	97	19
NrE168	425	97	14
NrE169	503	831	9
NrE170	314	504	9
NrE171	24	902	44
NrE172	902	505	6
NrE173	505	506	6
NrE174	70	507	1
NrE175	70	98	22
NrE176	98	427	23
NrE177	508	427	12
NrE178	509	510	6
NrE179	512	99	2
NrE180	99	644	12
NrE181	509	100	24
NrE182	514	630	20
NrE183	516	691	28
NrE184	780	517	16
NrE185	387	298	16
NrE186	519	520	13
NrE187	298	903	5
NrE188	464	688	39
NrE189	299	522	7
NrE190	435	807	17
NrE191	525	101	28
NrE192	101	526	2
NrE193	527	796	15
NrE194	904	528	2
NrE195	102	611	86
NrE196	103	534	86
NrE197	534	535	91
NrE198	535	538	4
NrE199	537	772	25
NrE200	43	296	19
NrE201	14	544	9
NrE202	879	105	12
NrE203	879	462	8
NrE204	301	106	22
NrE205	301	105	31
NrE206	398	107	37
NrE207	106	556	3
NrE208	83	109	4
NrE209	109	110	8
NrE210	110	905	7
NrE211	5	111	19
NrE212	5	434	16
NrE213	839	559	24
NrE214	112	638	28
NrE215	638	113	7
NrE216	361	113	12
NrE217	779	114	10
NrE218	114	115	90
NrE219	115	906	24
NrE220	392	407	34
NrE221	392	116	10
NrE222	427	565	5
NrE223	567	568	5
NrE224	570	303	35
NrE225	395	119	35
NrE226	679	812	29
NrE227	578	579	18
NrE228	580	120	20
NrE229	120	121	27
NrE230	380	581	58
NrE231	907	585	16
NrE232	585	740	2
NrE233	740	586	36
NrE234	587	586	9
NrE235	811	715	4
NrE236	588	715	2
NrE237	888	124	46
NrE238	73	809	19
NrE239	809	810	8
NrE240	589	810	29
NrE241	556	589	26
NrE242	126	127	69
NrE243	46	594	3
NrE244	908	129	13
NrE245	482	129	8
NrE246	482	304	1
NrE247	586	304	18
NrE248	29	130	19
NrE249	29	131	12
NrE250	595	305	6
NrE251	596	830	9
NrE252	842	672	18
NrE253	602	134	137
NrE254	438	135	21
NrE255	133	150	19
NrE256	909	331	46
NrE257	607	910	17
NrE258	72	910	16
NrE259	667	136	27
NrE260	608	137	2
NrE261	137	609	35
NrE262	612	911	7
NrE263	112	615	5
NrE264	643	140	14
NrE265	140	618	8
NrE266	912	840	18
NrE267	593	721	79
NrE268	542	347	1
NrE269	438	346	8
NrE270	820	913	8
NrE271	913	144	38
NrE272	144	914	18
NrE273	915	626	74
NrE274	408	130	10
NrE275	125	616	20
NrE276	681	125	9
NrE277	126	617	18
NrE278	617	628	15
NrE279	21	422	7
NrE280	21	146	10
NrE281	528	146	12
NrE282	887	916	4
NrE283	127	916	7
NrE284	630	917	1
NrE285	917	631	3
NrE286	560	306	7
NrE287	352	306	20
NrE288	147	795	8
NrE289	476	795	23
NrE290	561	635	15
NrE291	638	637	5
NrE292	351	465	16
NrE293	135	148	34
NrE294	860	642	5
NrE295	881	307	6
NrE296	881	100	12
NrE297	100	553	17
NrE298	553	643	4
NrE299	103	536	17
NrE300	22	103	14
NrE301	646	149	11
NrE302	150	647	28
NrE303	650	153	1
NrE304	648	700	33
NrE305	153	918	21
NrE306	647	313	24
NrE307	374	654	21
NrE308	915	794	2
NrE309	915	154	1
NrE310	154	640	15
NrE311	919	155	18
NrE312	308	539	71
NrE313	591	156	8
NrE314	156	920	17
NrE315	920	921	3
NrE316	601	921	4
NrE317	156	157	5
NrE318	656	828	25
NrE319	657	158	41
NrE320	158	310	27
NrE321	921	922	6
NrE322	659	923	17
NrE323	662	663	16
NrE324	490	309	26
NrE325	159	664	8
NrE326	664	924	65
NrE327	160	161	15
NrE328	161	162	1
NrE329	411	162	27
NrE330	411	666	21
NrE331	416	163	18
NrE332	163	164	7
NrE333	165	668	32
NrE334	671	287	9
NrE335	672	168	4
NrE336	384	385	3
NrE337	13	680	7
NrE338	13	681	42
NrE339	682	681	44
NrE340	682	916	59
NrE341	171	684	52
NrE342	424	655	7
NrE343	424	887	28
NrE344	922	925	54
NrE345	601	922	5
NrE346	383	675	16
NrE347	926	172	26
NrE348	688	310	56
NrE349	592	310	4
NrE350	686	927	25
NrE351	174	928	17
NrE352	691	175	14
NrE353	49	929	17
NrE354	382	692	16
NrE355	88	676	40
NrE356	138	619	8
NrE357	619	912	1
NrE358	897	912	15
NrE359	897	695	1
NrE360	176	177	10
NrE361	910	311	10
NrE362	311	788	18
NrE363	930	178	18
NrE364	555	673	9
NrE365	584	179	16
NrE366	312	309	29
NrE367	312	180	16
NrE368	52	698	15
NrE369	931	181	11
NrE370	87	828	59
NrE371	87	706	15
NrE372	706	313	34
NrE373	653	182	47
NrE374	677	182	7
NrE375	700	653	22
NrE376	355	441	26
NrE377	441	701	10
NrE378	932	702	36
NrE379	900	702	3
NrE380	900	314	28
NrE381	314	703	41
NrE382	703	933	12
NrE383	933	704	55
NrE384	705	149	22
NrE385	169	706	29
NrE386	633	353	47
NrE387	862	315	20
NrE388	315	107	20
NrE389	456	786	46
NrE390	134	650	22
NrE391	134	183	45
NrE392	362	183	50
NrE393	362	316	36
NrE394	933	317	22
NrE395	902	317	10
NrE396	902	704	39
NrE397	506	711	40
NrE398	471	318	13
NrE399	10	185	9
NrE400	10	397	2
NrE401	545	715	61
NrE402	545	319	5
NrE403	546	319	27
NrE404	640	186	19
NrE405	187	718	25
NrE406	716	188	9
NrE407	188	934	5
NrE408	934	719	37
NrE409	760	756	23
NrE410	893	756	7
NrE411	935	936	13
NrE412	168	343	16
NrE413	108	937	5
NrE414	858	364	10
NrE415	364	723	60
NrE416	507	724	2
NrE417	565	307	47
NrE418	27	123	30
NrE419	938	939	14
NrE420	939	189	2
NrE421	189	940	22
NrE422	941	942	29
NrE423	942	943	43
NrE424	944	945	15
NrE425	671	942	8
NrE426	720	943	1
NrE427	720	944	2
NrE428	316	944	2
NrE429	316	943	2
NrE430	605	945	1
NrE431	604	605	3
NrE432	604	945	1
NrE433	190	946	13
NrE434	191	947	130
NrE435	948	949	15
NrE436	950	951	42
NrE437	192	952	17
NrE438	953	193	11
NrE439	194	954	16
NrE440	28	955	23
NrE441	195	792	35
NrE442	792	763	17
NrE443	939	320	13
NrE444	196	956	11
NrE445	197	789	16
NrE446	321	957	13
NrE447	322	533	56
NrE448	198	958	17
NrE449	32	959	26
NrE450	199	960	21
NrE451	200	961	45
NrE452	201	962	21
NrE453	202	963	214
NrE454	964	203	11
NrE455	203	965	29
NrE456	323	966	17
NrE457	967	204	32
