Name:		CBMix14
NrA134	39	40	19
NrA135	39	48	19
NrA136	40	39	19
NrA137	40	41	20
NrA138	40	49	17
NrA139	41	27	58
NrA140	41	28	38
NrA141	41	40	20
NrA142	41	42	39
NrA143	41	50	21
NrA144	42	29	39
NrA145	42	41	39
NrA146	42	43	38
NrA147	42	51	19
NrA148	43	31	35
NrA149	43	42	38
NrA150	43	64	41
NrA151	44	35	18
NrA152	44	45	21
NrA153	44	55	15
NrA154	45	36	18
NrA155	45	44	21
NrA156	45	46	19
NrA157	45	56	20
NrA158	46	37	18
NrA159	46	45	19
NrA160	46	47	19
NrA161	46	57	19
NrA162	47	38	21
NrA163	47	46	19
NrA164	47	48	19
NrA165	47	58	21
NrA166	48	39	19
NrA167	48	47	19
NrA168	48	49	18
NrA169	48	59	20
NrA170	49	40	17
NrA171	49	48	18
NrA172	49	50	21
NrA173	49	60	19
NrA174	50	41	21
NrA175	50	49	21
NrA176	50	51	36
NrA177	50	61	19
NrA178	51	42	19
NrA179	51	50	36
NrA180	51	62	16
NrA181	52	32	40
NrA182	52	53	35
NrA183	52	72	33
NrA184	53	33	42
NrA185	53	52	35
NrA186	53	54	36
NrA187	53	73	36
NrA188	54	34	38
NrA189	54	53	36
NrA190	54	55	41
NrA191	54	74	33
NrA192	55	44	15
NrA193	55	54	41
NrA194	55	56	18
NrA195	55	65	22
NrA196	56	45	20
NrA197	56	55	18
NrA198	56	57	19
NrA199	56	66	17
NrA200	57	46	19
NrA201	57	56	19
NrA202	57	58	19
NrA203	57	67	21
NrA204	58	47	21
NrA205	58	57	19
NrA206	58	59	17
NrA207	58	68	16
NrA208	59	48	20
NrA209	59	58	17
NrA210	59	60	19
NrA211	59	69	20
NrA212	60	49	19
NrA213	60	59	19
NrA214	60	61	21
NrA215	60	70	13
NrA216	61	50	19
NrA217	61	60	21
NrA218	61	62	36
NrA219	61	71	15
NrA220	62	51	16
NrA221	62	61	36
NrA222	62	63	20
NrA223	62	81	55
NrA224	62	82	40
NrA225	63	62	20
NrA226	63	64	18
NrA227	63	83	39
NrA228	64	43	41
NrA229	64	63	18
NrA230	64	84	40
NrA231	65	55	22
NrA232	65	66	17
NrA233	65	75	22
NrA234	66	56	17
NrA235	66	65	17
NrA236	66	67	24
NrA237	66	76	23
NrA238	67	57	21
NrA239	67	66	24
NrA240	67	68	16
NrA241	67	77	20
NrA242	68	58	16
NrA243	68	67	16
NrA244	68	69	19
NrA245	68	78	22
NrA246	69	59	20
NrA247	69	68	19
NrA248	69	70	20
NrA249	69	79	16
NrA250	70	60	13
NrA251	70	69	20
NrA252	70	71	21
NrA253	70	80	24
NrA254	71	61	15
NrA255	71	70	21
NrA256	71	81	21
NrA257	72	52	33
NrA258	72	73	39
NrA259	72	85	36
NrA260	73	53	36
NrA261	73	72	39
NrA262	73	74	37
NrA263	73	86	35
NrA264	74	54	33
NrA265	74	73	37
NrA266	74	75	39
NrA267	74	87	42
NrA268	75	65	22
NrA269	75	74	39
NrA270	75	76	22
NrA271	75	88	36
NrA272	76	66	23
NrA273	76	75	22
NrA274	76	77	14
NrA275	77	67	20
NrA276	77	76	14
NrA277	77	78	20
NrA278	77	89	33
NrA279	78	68	22
NrA280	78	77	20
NrA281	78	79	20
NrA282	79	69	16
NrA283	79	78	20
NrA284	79	80	20
NrA285	79	90	39
NrA286	80	70	24
NrA287	80	79	20
NrA288	80	81	20
NrA289	80	91	38
NrA290	81	62	55
NrA291	81	71	21
NrA292	81	80	20
NrA293	81	82	36
NrA294	81	92	41
NrA295	82	62	40
NrA296	82	81	36
NrA297	82	83	20
NrA298	82	93	37
NrA299	83	63	39
NrA300	83	82	20
NrA301	83	84	18
NrA302	84	64	40
NrA303	84	83	18
NrA304	84	94	35
NrA305	85	72	36
NrA306	85	86	35
NrA307	86	73	35
NrA308	86	85	35
NrA309	86	87	40
NrA310	87	74	42
NrA311	87	86	40
NrA312	87	88	38
NrA313	88	75	36
NrA314	88	87	38
NrA315	88	89	39
NrA316	89	77	33
NrA317	89	88	39
NrA318	89	90	38
NrA319	90	79	39
NrA320	90	89	38
NrA321	90	91	22
NrA322	91	80	38
NrA323	91	90	22
NrA324	91	92	14
NrA325	92	81	41
NrA326	92	91	14
NrA327	92	93	41
NrA328	93	82	37
NrA329	93	92	41
NrA330	93	94	39
NrA331	94	84	35
NrA332	94	93	39

