Name:		DI-NEARP-n442-Q8k
E10	310	311	41	41	82
E11	312	313	331	80	411
E12	314	315	140	34	174
E13	316	317	53	58	111
E14	318	193	56	73	129
E15	319	320	11	52	63
E16	15	321	29	56	85
E17	322	323	58	37	95
E18	324	325	70	59	129
E19	80	326	59	61	120
E20	327	328	22	110	132
E21	89	329	67	76	143
E22	330	46	96	40	136
E23	331	332	220	46	266
E24	102	333	23	34	57
E25	334	335	40	54	94
E26	259	336	9	51	60
E27	337	338	110	45	155
E28	339	340	33	1	34
E29	341	342	74	34	108
E30	319	264	22	149	171
E31	343	344	31	152	183
E32	345	346	37	24	61
E33	347	262	1	46	47
E34	348	349	17	41	58
E35	273	350	18	48	66
E36	351	101	67	56	123
E37	352	344	29	110	139
E38	353	354	125	1	126
E39	355	356	26	156	182
E40	284	357	27	43	70
E41	343	273	27	71	98
E42	358	359	2	79	81
E43	360	361	71	17	88
E44	327	362	35	166	201
E45	363	364	14	218	232
E46	363	279	28	87	115
E47	365	366	19	104	123
E48	141	367	21	60	81
E49	368	369	23	92	115
E50	370	371	17	90	107
E51	372	365	9	23	32
E52	373	374	144	36	180
E53	375	376	48	1	49
E54	377	378	15	18	33
E55	379	380	15	96	111
E56	381	382	5	37	42
E57	383	384	77	52	129
E58	385	386	43	29	72
E59	387	185	15	104	119
E60	388	389	31	129	160
E61	390	391	22	38	60
E62	391	392	4	34	38
E63	393	394	9	17	26
E64	395	396	13	75	88
E65	397	393	28	217	245
E66	398	399	4	42	46
E67	400	389	25	81	106
E68	401	402	102	35	137
E69	403	404	3	17	20
E70	405	406	45	161	206
E71	407	408	22	79	101
E72	407	409	16	44	60
E73	403	410	9	20	29
E74	411	412	114	51	165
E75	413	414	28	92	120
E76	415	394	23	58	81
E77	416	417	20	17	37
E78	413	418	9	40	49
E79	419	408	13	62	75
E80	288	420	17	94	111
E81	421	422	16	44	60
E82	423	424	35	62	97
E83	425	426	12	34	46
E84	427	428	50	124	174
E85	196	429	17	44	61
E86	430	431	23	41	64
E87	432	433	28	127	155
E88	366	400	30	127	157
E89	434	432	23	130	153
E90	435	436	8	17	25
E91	207	437	28	17	45
E92	438	371	36	205	241
E93	439	440	100	68	168
E94	441	442	51	151	202
E95	443	444	20	121	141
E96	397	415	8	35	43
E97	445	213	10	38	48
E98	446	445	28	100	128
E99	447	448	38	1	39
E100	441	449	21	132	153
E101	404	450	24	19	43
E102	405	288	13	39	52
E103	451	416	43	17	60
E104	452	203	15	60	75
E105	178	222	3	47	50
E106	453	390	10	17	27
E107	454	425	21	54	75
E108	455	445	20	83	103
E109	423	456	37	59	96
E110	399	457	10	123	133
E111	458	436	9	80	89
E112	459	213	10	34	44
E113	460	461	10	53	63
E114	413	395	10	17	27
E115	462	289	4	66	70
E116	395	463	16	57	73
E117	464	465	30	208	238
E118	205	461	15	41	56
E119	466	467	25	17	42
E120	369	456	15	95	110
E121	369	468	6	41	47
E122	379	469	9	54	63
E123	470	471	23	138	161
E124	470	472	20	106	126
E125	414	471	23	119	142
E126	468	472	27	133	160
E127	468	413	17	45	62
E128	428	473	7	35	42
E129	394	391	7	52	59
E130	474	475	32	1	33
E131	476	205	34	187	221
E132	477	435	16	105	121
E133	414	441	10	34	44
E134	461	478	31	26	57
E135	479	432	15	76	91
E136	448	480	20	6	26
E137	481	405	13	105	118
E138	482	460	22	113	135
E139	483	463	12	131	143
E140	370	484	6	91	97
E141	472	414	12	40	52
E142	485	486	7	59	66
E143	487	288	13	92	105
E144	488	370	7	39	46
E145	489	490	12	68	80
E146	491	481	11	43	54
E147	492	243	15	84	99
E148	243	493	28	152	180

EDGE	FROM N.	TO N.	T. COST
NrE1	494	271	62
NrE2	495	494	553
NrE3	496	495	48
NrE4	496	495	45
NrE5	494	497	2066
NrE6	496	498	516
NrE7	250	142	370
NrE8	499	500	218
NrE9	501	502	40
NrE10	39	503	793
NrE11	504	503	469
NrE12	1	505	135
NrE13	244	16	233
NrE14	302	506	625
NrE15	507	508	603
NrE16	251	509	80
NrE17	502	510	23
NrE18	2	3	31
NrE19	507	8	28
NrE20	15	323	223
NrE21	4	69	104
NrE22	511	512	209
NrE23	511	513	40
NrE24	514	28	32
NrE25	508	142	266
NrE26	515	499	148
NrE27	5	516	6
NrE28	517	518	21
NrE29	517	6	6
NrE30	374	254	152
NrE31	519	520	85
NrE32	500	28	50
NrE33	244	297	132
NrE34	7	521	111
NrE35	244	8	184
NrE36	9	19	239
NrE37	8	27	106
NrE38	315	302	127
NrE39	522	10	16
NrE40	301	11	121
NrE41	3	523	54
NrE42	502	27	159
NrE43	299	19	159
NrE44	524	21	18
NrE45	525	13	50
NrE46	526	527	12
NrE47	526	14	100
NrE48	15	120	65
NrE49	516	316	551
NrE50	16	500	371
NrE51	298	17	7
NrE52	9	18	212
NrE53	18	528	6
NrE54	23	173	212
NrE55	508	503	1122
NrE56	305	529	801
NrE57	524	139	199
NrE58	20	530	125
NrE59	531	22	80
NrE60	23	532	41
NrE61	514	500	63
NrE62	277	24	23
NrE63	533	534	487
NrE64	535	536	127
NrE65	499	25	323
NrE66	17	303	225
NrE67	295	12	156
NrE68	26	50	32
NrE69	507	537	38
NrE70	537	538	25
NrE71	25	539	169
NrE72	515	28	70
NrE73	501	245	46
NrE74	29	540	77
NrE75	541	542	374
NrE76	543	30	31
NrE77	515	31	404
NrE78	300	246	115
NrE79	316	247	78
NrE80	544	545	10
NrE81	546	121	209
NrE82	547	548	11
NrE83	501	549	45
NrE84	18	158	119
NrE85	32	550	927
NrE86	296	306	25
NrE87	35	36	37
NrE88	36	551	7
NrE89	545	518	1
NrE90	544	37	37
NrE91	5	38	38
NrE92	551	39	3
NrE93	253	109	185
NrE94	531	309	80
NrE95	40	321	81
NrE96	21	300	60
NrE97	246	506	52
NrE98	37	552	7
NrE99	505	519	195
NrE100	4	254	96
NrE101	553	554	1
NrE102	548	554	19
NrE103	553	48	95
NrE104	520	550	423
NrE105	41	555	74
NrE106	42	248	92
NrE107	531	253	59
NrE108	43	556	14
NrE109	354	529	230
NrE110	557	558	70
NrE111	6	110	27
NrE112	317	44	15
NrE113	35	45	187
NrE114	559	560	204
NrE115	543	46	37
NrE116	561	313	337
NrE117	20	47	112
NrE118	519	523	273
NrE119	536	562	252
NrE120	249	54	48
NrE121	249	563	20
NrE122	564	532	14
NrE123	541	146	486
NrE124	565	101	81
NrE125	566	534	397
NrE126	509	39	11
NrE127	509	551	6
NrE128	38	49	34
NrE129	32	314	188
NrE130	11	314	25
NrE131	567	109	29
NrE132	567	66	133
NrE133	568	155	144
NrE134	45	568	249
NrE135	520	539	1356
NrE136	9	307	27
NrE137	513	533	503
NrE138	505	374	38
NrE139	516	523	46
NrE140	51	569	29
NrE141	570	571	181
NrE142	572	134	44
NrE143	510	514	1
NrE144	573	52	127
NrE145	53	565	132
NrE146	511	534	231
NrE147	574	572	23
NrE148	549	34	49
NrE149	533	575	24
NrE150	351	335	171
NrE151	1	576	147
NrE152	26	29	21
NrE153	539	55	61
NrE154	32	55	36
NrE155	577	278	179
NrE156	44	56	35
NrE157	535	547	56
NrE158	538	318	40
NrE159	566	578	898
NrE160	309	562	860
NrE161	574	57	24
NrE162	57	58	39
NrE163	579	59	8
NrE164	59	536	13
NrE165	60	136	74
NrE166	376	555	39
NrE167	580	581	109
NrE168	582	583	111
NrE169	567	332	641
NrE170	33	40	7
NrE171	34	40	42
NrE172	584	585	17
NrE173	47	61	142
NrE174	570	569	6
NrE175	304	586	85
NrE176	48	49	81
NrE177	50	61	48
NrE178	554	322	107
NrE179	587	588	172
NrE180	580	62	37
NrE181	589	63	17
NrE182	332	64	23
NrE183	65	132	146
NrE184	574	62	17
NrE185	573	590	60
NrE186	540	144	127
NrE187	31	311	43
NrE188	550	497	175
NrE189	67	324	107
NrE190	569	591	9
NrE191	570	591	7
NrE192	68	71	111
NrE193	541	512	53
NrE194	592	593	182
NrE195	30	594	34
NrE196	590	115	173
NrE197	306	250	53
NrE198	22	69	44
NrE199	70	595	37
NrE200	70	596	62
NrE201	510	245	33
NrE202	72	107	260
NrE203	251	73	86
NrE204	252	74	18
NrE205	54	75	13
NrE206	312	597	14
NrE207	598	331	10
NrE208	525	598	40
NrE209	76	77	46
NrE210	78	79	28
NrE211	78	140	47
NrE212	563	169	101
NrE213	598	153	71
NrE214	564	80	64
NrE215	586	597	16
NrE216	597	81	18
NrE217	312	599	301
NrE218	600	345	32
NrE219	563	82	16
NrE220	582	83	25
NrE221	568	601	52
NrE222	84	602	72
NrE223	603	125	498
NrE224	325	85	48
NrE225	86	604	80
NrE226	248	87	64
NrE227	601	154	83
NrE228	566	603	224
NrE229	594	109	696
NrE230	64	594	59
NrE231	546	540	27
NrE232	605	266	9
NrE233	512	603	567
NrE234	52	87	28
NrE235	15	56	47
NrE236	556	88	19
NrE237	10	53	112
NrE238	527	606	87
NrE239	7	171	113
NrE240	561	607	75
NrE241	89	607	44
NrE242	90	91	24
NrE243	584	608	27
NrE244	608	609	6
NrE245	92	610	15
NrE246	610	611	10
NrE247	92	611	16
NrE248	43	349	57
NrE249	329	93	56
NrE250	592	230	119
NrE251	602	612	34
NrE252	613	94	14
NrE253	42	614	8
NrE254	95	161	26
NrE255	68	348	42
NrE256	506	96	5
NrE257	522	97	82
NrE258	615	171	82
NrE259	98	176	17
NrE260	565	70	15
NrE261	367	99	20
NrE262	74	367	13
NrE263	74	264	27
NrE264	616	617	26
NrE265	384	100	67
NrE266	85	353	51
NrE267	102	103	33
NrE268	104	618	11
NrE269	547	553	8
NrE270	44	105	28
NrE271	106	619	36
NrE272	610	620	23
NrE273	602	108	54
NrE274	65	268	28
NrE275	268	621	31
NrE276	622	149	55
NrE277	618	623	5
NrE278	600	110	69
NrE279	552	179	67
NrE280	72	619	117
NrE281	111	360	8
NrE282	347	255	5
NrE283	624	625	57
NrE284	621	626	126
NrE285	627	112	17
NrE286	627	628	29
NrE287	629	119	65
NrE288	532	629	2
NrE289	113	114	55
NrE290	335	368	68
NrE291	630	257	52
NrE292	592	542	1
NrE293	625	631	38
NrE294	556	258	40
NrE295	41	542	42
NrE296	583	115	59
NrE297	543	594	42
NrE298	599	167	65
NrE299	270	336	57
NrE300	259	632	6
NrE301	76	116	14
NrE302	97	116	67
NrE303	582	596	17
NrE304	633	634	11
NrE305	114	132	68
NrE306	78	386	28
NrE307	608	623	22
NrE308	635	636	21
NrE309	54	326	19
NrE310	376	521	56
NrE311	595	117	11
NrE312	627	137	112
NrE313	284	263	42
NrE314	368	334	8
NrE315	423	636	71
NrE316	308	88	38
NrE317	82	637	35
NrE318	637	118	68
NrE319	637	166	37
NrE320	546	73	3
NrE321	2	576	23
NrE322	613	638	18
NrE323	100	635	19
NrE324	632	639	25
NrE325	80	87	67
NrE326	599	622	5
NrE327	617	116	69
NrE328	522	617	121
NrE329	524	123	29
NrE330	260	612	75
NrE331	45	121	15
NrE332	613	620	16
NrE333	67	122	31
NrE334	549	318	61
NrE335	591	340	98
NrE336	340	122	54
NrE337	583	333	49
NrE338	247	310	76
NrE339	60	133	62
NrE340	628	640	25
NrE341	319	124	7
NrE342	319	605	35
NrE343	74	99	18
NrE344	641	642	30
NrE345	626	643	88
NrE346	4	644	74
NrE347	2	576	21
NrE348	125	126	7
NrE349	127	645	6
NrE350	341	344	81
NrE351	580	107	23
NrE352	585	609	38
NrE353	620	646	32
NrE354	628	647	38
NrE355	552	648	50
NrE356	517	649	11
NrE357	619	521	2
NrE358	63	103	154
NrE359	545	37	33
NrE360	270	650	26
NrE361	633	651	17
NrE362	14	559	25
NrE363	347	378	18
NrE364	615	128	12
NrE365	615	129	43
NrE366	71	91	20
NrE367	339	652	12
NrE368	330	118	48
NrE369	331	118	166
NrE370	548	130	72
NrE371	77	636	16
NrE372	24	629	35
NrE373	558	329	6
NrE374	558	652	2
NrE375	575	131	75
NrE376	86	575	37
NrE377	587	124	93
NrE378	653	654	31
NrE379	655	656	48
NrE380	640	135	9
NrE381	631	261	1
NrE382	654	657	1
NrE383	262	352	21
NrE384	557	607	36
NrE385	557	89	10
NrE386	263	651	17
NrE387	596	136	27
NrE388	262	658	9
NrE389	638	352	60
NrE390	624	256	18
NrE391	628	651	3
NrE392	361	659	15
NrE393	625	660	13
NrE394	631	660	32
NrE395	357	276	39
NrE396	126	593	654
NrE397	263	357	4
NrE398	255	655	3
NrE399	356	407	15
NrE400	252	264	11
NrE401	633	276	10
NrE402	343	275	8
NrE403	113	138	18
NrE404	350	138	3
NrE405	587	626	108
NrE406	79	652	155
NrE407	544	661	44
NrE408	584	661	3
NrE409	252	141	15
NrE410	605	264	5
NrE411	526	119	92
NrE412	75	90	32
NrE413	586	604	42
NrE414	655	358	10
NrE415	102	117	69
NrE416	616	338	63
NrE417	53	95	138
NrE418	639	578	14
NrE419	578	272	49
NrE420	641	137	194
NrE421	50	143	39
NrE422	284	265	34
NrE423	65	621	15
NrE424	378	658	24
NrE425	634	653	46
NrE426	647	653	7
NrE427	645	274	3
NrE428	112	640	11
NrE429	561	312	1
NrE430	572	58	20
NrE431	266	145	25
NrE432	638	662	20
NrE433	657	662	25
NrE434	267	663	15
NrE435	555	146	3
NrE436	535	147	54
NrE437	622	148	44
NrE438	111	274	54
NrE439	268	664	59
NrE440	600	150	22
NrE441	657	269	81
NrE442	257	269	32
NrE443	537	665	10
NrE444	654	659	40
NrE445	634	659	2
NrE446	527	151	21
NrE447	529	152	209
NrE448	618	134	125
NrE449	20	152	270
NrE450	639	650	7
NrE451	623	129	139
NrE452	525	271	79
NrE453	642	272	74
NrE454	647	135	14
NrE455	611	135	15
NrE456	336	642	40
NrE457	666	191	70
NrE458	667	668	38
NrE459	114	669	13
NrE460	585	649	11
NrE461	14	670	96
NrE462	156	671	25
NrE463	672	673	17
NrE464	363	674	54
NrE465	641	157	26
NrE466	660	588	4
NrE467	336	127	12
NrE468	675	187	269
NrE469	334	424	17
NrE470	632	274	24
NrE471	273	358	37
NrE472	327	656	11
NrE473	261	676	18
NrE474	259	645	41
NrE475	666	562	22
NrE476	590	151	377
NrE477	262	275	20
NrE478	335	159	2
NrE479	156	159	1
NrE480	160	677	50
NrE481	277	564	33
NrE482	98	104	31
NrE483	650	267	10
NrE484	145	278	79
NrE485	145	593	69
NrE486	635	162	15
NrE487	658	279	19
NrE488	678	163	6
NrE489	504	164	6
NrE490	380	679	8
NrE491	649	680	124
NrE492	681	682	36
NrE493	601	165	74
NrE494	606	683	75
NrE495	684	409	75
NrE496	624	678	4
NrE497	595	160	53
NrE498	662	588	44
NrE499	279	377	19
NrE500	638	678	6
NrE501	13	280	244
NrE502	417	168	8
NrE503	257	281	16
NrE504	346	648	63
NrE505	386	128	76
NrE506	685	686	35
NrE507	687	688	10
NrE508	689	690	39
NrE509	685	691	83
NrE510	692	170	12
NrE511	693	694	29
NrE512	559	172	3
NrE513	104	695	31
NrE514	689	696	41
NrE515	504	665	4
NrE516	665	282	12
NrE517	497	139	190
NrE518	125	281	45
NrE519	697	675	146
NrE520	698	675	41
NrE521	689	686	39
NrE522	656	174	35
NrE523	685	571	36
NrE524	699	187	45
NrE525	700	701	13
NrE526	283	448	37
NrE527	668	155	80
NrE528	702	175	2
NrE529	98	175	32
NrE530	703	704	114
NrE531	705	706	49
NrE532	687	707	86
NrE533	708	704	59
NrE534	573	177	6
NrE535	379	382	3
NrE536	708	709	6
NrE537	511	661	252
NrE538	672	710	62
NrE539	711	178	4
NrE540	698	680	33
NrE541	150	180	75
NrE542	181	182	16
NrE543	700	397	28
NrE544	688	712	146
NrE545	183	571	45
NrE546	604	184	3
NrE547	699	697	94
NrE548	408	185	29
NrE549	686	690	73
NrE550	666	713	61
NrE551	714	715	47
NrE552	691	223	27
NrE553	715	186	8
NrE554	389	186	5
NrE555	389	411	14
NrE556	616	188	63
NrE557	705	716	6
NrE558	115	170	37
NrE559	717	289	11
NrE560	189	718	7
NrE561	715	430	13
NrE562	710	719	45
NrE563	704	720	74
NrE564	388	433	2
NrE565	464	192	54
NrE566	190	721	9
NrE567	560	722	16
NrE568	560	191	62
NrE569	699	723	77
NrE570	653	646	6
NrE571	192	724	11
NrE572	724	725	12
NrE573	433	400	22
NrE574	725	451	9
NrE575	180	726	75
NrE576	694	684	2
NrE577	518	609	46
NrE578	707	673	35
NrE579	538	193	33
NrE580	408	387	1
NrE581	716	727	48
NrE582	696	712	1
NrE583	667	194	7
NrE584	711	728	7
NrE585	703	195	32
NrE586	185	409	8
NrE587	690	729	132
NrE588	683	706	25
NrE589	708	709	7
NrE590	730	450	8
NrE591	186	400	38
NrE592	693	196	21
NrE593	646	285	2
NrE594	667	197	9
NrE595	180	729	23
NrE596	650	286	3
NrE597	365	731	9
NrE598	581	240	26
NrE599	560	706	35
NrE600	342	198	1
NrE601	199	220	23
NrE602	337	200	36
NrE603	194	201	23
NrE604	393	287	4
NrE605	720	466	6
NrE606	401	732	17
NrE607	490	421	6
NrE608	700	437	24
NrE609	684	202	4
NrE610	722	206	41
NrE611	728	733	9
NrE612	734	735	8
NrE613	403	203	11
NrE614	181	204	14
NrE615	718	736	7
NrE616	63	731	65
NrE617	108	714	70
NrE618	687	688	12
NrE619	701	498	28
NrE620	199	737	5
NrE621	699	703	29
NrE622	727	737	1
NrE623	465	205	14
NrE624	705	206	6
NrE625	648	691	85
NrE626	201	738	34
NrE627	490	288	11
NrE628	431	207	15
NrE629	683	697	30
NrE630	477	458	13
NrE631	289	739	4
NrE632	740	208	7
NrE633	737	732	19
NrE634	719	292	10
NrE635	380	185	17
NrE636	498	741	9
NrE637	714	209	48
NrE638	283	742	2
NrE639	726	210	3
NrE640	743	744	7
NrE641	696	709	5
NrE642	430	437	14
NrE643	192	745	1
NrE644	693	466	66
NrE645	513	148	12
NrE646	290	746	13
NrE647	716	723	25
NrE648	182	718	3
NrE649	182	211	11
NrE650	463	443	14
NrE651	747	212	6
NrE652	748	230	17
NrE653	747	748	5
NrE654	425	213	7
NrE655	734	749	23
NrE656	725	750	9
NrE657	406	214	4
NrE658	751	218	44
NrE659	215	486	8
NrE660	739	740	2
NrE661	717	721	4
NrE662	717	190	13
NrE663	181	752	49
NrE664	753	291	8
NrE665	740	462	1
NrE666	196	216	7
NrE667	730	743	2
NrE668	606	217	13
NrE669	411	430	26
NrE670	416	749	4
NrE671	462	234	6
NrE672	404	754	46
NrE673	487	485	1
NrE674	487	481	11
NrE675	416	471	50
NrE676	745	219	14
NrE677	723	221	31
NrE678	727	221	41
NrE679	371	203	16
NrE680	707	292	18
NrE681	451	749	9
NrE682	746	755	16
NrE683	756	224	2
NrE684	224	493	58
NrE685	423	225	55
NrE686	729	226	12
NrE687	467	227	9
NrE688	681	450	8
NrE689	450	457	10
NrE690	710	429	24
NrE691	735	721	7
NrE692	724	750	13
NrE693	679	713	14
NrE694	643	228	23
NrE695	577	757	7
NrE696	691	751	21
NrE697	694	440	16
NrE698	672	758	13
NrE699	711	222	3
NrE700	730	222	5
NrE701	215	462	15
NrE702	717	215	3
NrE703	736	426	8
NrE704	713	402	5
NrE705	680	741	10
NrE706	390	415	8
NrE707	682	736	10
NrE708	726	223	85
NrE709	733	744	4
NrE710	755	229	5
NrE711	449	471	15
NrE712	681	753	3
NrE713	190	743	2
NrE714	464	476	14
NrE715	733	231	1
NrE716	758	232	9
NrE717	698	741	23
NrE718	757	243	34
NrE719	756	757	6
NrE720	720	467	29
NrE721	366	479	9
NrE722	735	739	5
NrE723	428	469	4
NrE724	577	756	7
NrE725	742	751	12
NrE726	748	759	47
NrE727	759	293	11
NrE728	451	760	31
NrE729	470	760	2
NrE730	744	233	1
NrE731	753	761	4
NrE732	581	761	4
NrE733	746	235	17
NrE734	673	719	25
NrE735	714	731	50
NrE736	178	398	3
NrE737	679	473	9
NrE738	183	236	12
NrE739	742	474	13
NrE740	701	741	20
NrE741	477	482	13
NrE742	476	482	13
NrE743	612	168	23
NrE744	745	237	5
NrE745	750	755	6
NrE746	426	759	11
NrE747	682	754	20
NrE748	487	234	1
NrE749	734	491	7
NrE750	387	381	5
NrE751	754	238	6
NrE752	225	760	11
NrE753	448	218	7
NrE754	201	758	3
NrE755	643	219	14
NrE756	732	239	9
NrE757	749	750	13
NrE758	225	456	11
NrE759	456	294	8
NrE760	472	294	9
NrE761	457	761	18
NrE762	189	241	3
NrE763	283	475	3
NrE764	668	242	12
NrE765	189	747	8
NrE766	486	489	6
NrE767	722	220	5
NrE768	728	240	10
NrE769	459	493	6

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST

ARC	FROM N.	TO N.	T. COST
