NOMBRE : egl-g2-C
COMENTARIO : UB=1401583, LB=1295036
VERTICES : 255
ARISTAS_REQ : 375
ARISTAS_NOREQ : 0
VEHICULOS : 32
CAPACIDAD : 19400
TIPO_COSTES_ARISTAS : EXPLICITOS
COSTE_TOTAL_REQ : 604228
LISTA_ARISTAS_REQ :
( 1, 5)   coste 1860   demanda 1860
( 209, 210)   coste 1518   demanda 1518
( 210, 211)   coste 364   demanda 364
( 210, 212)   coste 4722   demanda 4722
( 207, 212)   coste 5738   demanda 5738
( 206, 213)   coste 1700   demanda 1700
( 213, 214)   coste 1250   demanda 1250
( 213, 215)   coste 1561   demanda 1561
( 214, 215)   coste 1265   demanda 1265
( 214, 216)   coste 6400   demanda 6400
( 216, 217)   coste 2285   demanda 2285
( 254, 218)   coste 1829   demanda 1829
( 218, 219)   coste 1659   demanda 1659
( 219, 220)   coste 1320   demanda 1320
( 219, 216)   coste 1346   demanda 1346
( 215, 221)   coste 4667   demanda 4667
( 221, 222)   coste 532   demanda 532
( 222, 223)   coste 695   demanda 695
( 221, 224)   coste 1716   demanda 1716
( 222, 225)   coste 931   demanda 931
( 224, 225)   coste 545   demanda 545
( 224, 226)   coste 745   demanda 745
( 223, 225)   coste 1070   demanda 1070
( 223, 227)   coste 1133   demanda 1133
( 227, 228)   coste 3200   demanda 3200
( 223, 229)   coste 2680   demanda 2680
( 229, 230)   coste 418   demanda 418
( 230, 231)   coste 326   demanda 326
( 229, 231)   coste 220   demanda 220
( 231, 232)   coste 1412   demanda 1412
( 232, 233)   coste 4093   demanda 4093
( 233, 234)   coste 4007   demanda 4007
( 233, 255)   coste 354   demanda 354
( 232, 234)   coste 7275   demanda 7275
( 230, 235)   coste 3445   demanda 3445
( 235, 236)   coste 1645   demanda 1645
( 236, 237)   coste 1063   demanda 1063
( 236, 238)   coste 1669   demanda 1669
( 238, 193)   coste 901   demanda 901
( 238, 239)   coste 1077   demanda 1077
( 239, 235)   coste 1426   demanda 1426
( 235, 240)   coste 2205   demanda 2205
( 240, 241)   coste 2880   demanda 2880
( 239, 241)   coste 1392   demanda 1392
( 241, 242)   coste 1248   demanda 1248
( 242, 192)   coste 403   demanda 403
( 242, 243)   coste 1690   demanda 1690
( 241, 243)   coste 1217   demanda 1217
( 243, 244)   coste 1580   demanda 1580
( 243, 245)   coste 1752   demanda 1752
( 244, 245)   coste 620   demanda 620
( 244, 194)   coste 1198   demanda 1198
( 245, 246)   coste 5203   demanda 5203
( 246, 215)   coste 1326   demanda 1326
( 246, 247)   coste 2680   demanda 2680
( 247, 248)   coste 2068   demanda 2068
( 245, 248)   coste 2904   demanda 2904
( 248, 249)   coste 624   demanda 624
( 249, 240)   coste 876   demanda 876
( 249, 250)   coste 1840   demanda 1840
( 247, 250)   coste 1432   demanda 1432
( 250, 229)   coste 812   demanda 812
( 222, 247)   coste 2857   demanda 2857
( 212, 254)   coste 775   demanda 775
( 217, 254)   coste 381   demanda 381
DEPOSITO :   1
