Name:	DI-NEARP-n160-Q2k.dat				
129	0	0	945.65	955.67	
130	0	0	1516.83	1029.74	
131	0	0	1530.96	1006.88	
132	0	0	863.53	1387.94	
133	0	0	895.98	1397.63	
134	0	0	1472.58	1203.44	
135	0	0	1449.43	1214.32	
136	0	0	963.39	1275.4	
137	0	0	1009.31	1394.8	
138	0	0	997.57	1435.2	
139	0	0	964.76	1187.94	
140	0	0	1349.73	1018.11	
141	0	0	1496.9	853.87	
142	0	0	1014.32	782.4	
143	0	0	1018.58	757.39	
144	0	0	990.52	1345.46	
145	0	0	944.55	1379.21	
146	0	0	1417.89	1118.1	
147	0	0	1200	1286.35	
148	0	0	1202.4	1323.58	
149	0	0	1075.76	1154.42	
150	0	0	1041.3	1103.34	
151	0	0	683.89	859.34	
152	0	0	758.41	903.72	
153	0	0	1098.52	986.25	
154	0	0	872.97	1043.53	
155	0	0	903.37	1106.56	
156	0	0	890.44	1304.77	
157	0	0	1522.24	772.4	
158	0	0	1387.95	1142.5	
159	0	0	1356.49	1128.4	
160	0	0	924.98	1274.3	
161	0	0	969.81	1274.95	
162	0	0	922.41	1296.98	
163	0	0	821.93	1155.39	
164	0	0	1601.24	983.63	
165	0	0	1018.72	1122.49	
166	0	0	1025.71	1185.17	
167	0	0	1368.49	1283.27	
168	0	0	1296.65	1226.92	
169	0	0	882.71	1277.19	
170	0	0	1138.86	1296.29	
171	0	0	1139.42	1336.16	
172	0	0	1430.37	719.62	
173	0	0	1547.2	779	
174	0	0	1598.2	810.33	
175	0	0	1661.87	832.39	
176	0	0	1673.72	822.77	
177	0	0	1426.71	1432.23	
178	0	0	1471.43	1431.39	
179	0	0	1058	763.44	
180	0	0	1040.42	748.4	
181	0	0	1554.44	947.72	
182	0	0	1588.9	965.68	
183	0	0	1376.43	1039.3	
184	0	0	1424.6	1073.2	
185	0	0	1703.55	893.21	
186	0	0	929.93	1379.94	
187	0	0	1186.46	970.29	
188	0	0	1208.99	945.58	
189	0	0	1330.16	1054.17	
190	0	0	1586.54	1432.99	
191	0	0	1621.2	1416.96	
192	0	0	1452.9	1170.89	
193	0	0	1431.52	1182.19	
194	0	0	1320.22	1005.8	
195	0	0	1303.8	1028.18	
196	0	0	1137.88	922.87	
197	0	0	1114.16	947.21	
198	0	0	1215.85	1347.9	
199	0	0	1020.23	936.75	
200	0	0	1041.47	1001.36	
201	0	0	1042.24	949.11	
202	0	0	1189.75	1121.39	
203	0	0	1190.37	1069.7	
204	0	0	1175.8	1381.12	
205	0	0	1177.25	1412.72	
206	0	0	1404.69	778.35	
207	0	0	955.2	691.31	
208	0	0	936.74	738.65	
209	0	0	1526.69	901.44	
210	0	0	1143.91	1405.74	
211	0	0	1154.35	1384.64	
212	0	0	1572.16	917.75	
213	0	0	1232.75	924.59	
214	0	0	1195.17	910.66	
215	0	0	1156.9	966.65	
216	0	0	1478.5	1309.24	
217	0	0	973.39	688.44	
218	0	0	988.87	697.75	
219	0	0	1292.27	1102.3	
220	0	0	1313.9	1063.88	
221	0	0	1375.13	672.38	
222	0	0	1423.31	717.7	
223	0	0	1417.2	1127.14	
224	0	0	1137.24	800.94	
225	0	0	1082.23	790.12	
226	0	0	1284.89	1051.24	
227	0	0	1264.47	1073.36	
228	0	0	1099.11	1038.84	
229	0	0	1509.48	1145.12	
230	0	0	1489.21	1161.66	
231	0	0	1486.2	1109.46	
232	0	0	1463.85	1125.11	
233	0	0	1150.13	1363.35	
234	0	0	1196.26	1343.54	
235	0	0	1032.83	1381.91	
236	0	0	1124.24	1400.97	
237	0	0	1049.48	1400	
238	0	0	1160.66	1422.78	
239	0	0	1395.61	1343.51	
240	0	0	1356.6	809.83	
241	0	0	1570.14	1064.6	
242	0	0	1555.28	1038.74	
243	0	0	1552.59	1019.71	
244	0	0	1009.95	702.44	
245	0	0	1015.1	625.9	
246	0	0	1313	1140.25	
247	0	0	1317.93	1152.49	
248	0	0	1188.94	903.54	
249	0	0	1157.74	894.53	
250	0	0	474.37	1224.41	
251	0	0	744.26	1293.6	
252	0	0	1377.81	1266.62	
253	0	0	1359.24	1209.29	
254	0	0	1300.93	1218.82	
255	0	0	981.12	1131.69	
256	0	0	1330.21	853.79	
257	0	0	1321.32	860.31	
258	0	0	1630.97	1270.98	
259	0	0	1576.19	1202.97	
260	0	0	757.63	1313.46	
261	0	0	753.42	1298.54	
262	0	0	880.54	983.18	
263	0	0	1370.57	1059.82	
264	0	0	1225.11	1007.74	
265	0	0	1133.1	983.2	
266	0	0	847.59	1400.78	
267	0	0	1439.79	1209.47	
268	0	0	1309.73	1187.31	
269	0	0	1482.91	1244.7	
270	0	0	1216.8	982.99	
271	0	0	1444.79	801.88	
272	0	0	1314.68	1059.77	
273	0	0	1318.29	1057.3	
274	0	0	1224.27	1002.25	
275	0	0	1779.12	1418.12	
276	0	0	1360.23	844.28	
277	0	0	1367.56	831.8	
278	0	0	1662.36	1261.35	
279	0	0	1574.72	1186.94	
280	0	0	1096.52	1139.13	
281	0	0	1073.32	1049.2	
282	0	0	1462	670.9	
283	0	0	1187.36	1282.69	
284	0	0	1016.22	1371.92	
285	0	0	1416.22	1247.2	
286	0	0	1416.78	823.82	
287	0	0	1437.9	832.56	
288	0	0	1453.27	1132.4	
289	0	0	1538.44	1042.56	
290	0	0	513.94	1032.36	
291	0	0	1557.75	1337.17	
292	0	0	1552.66	1305.41	
293	0	0	1485.8	1447.74	
294	0	0	1051.86	862.6	
295	0	0	1112.96	934.12	
296	0	0	1459.13	771.1	
297	0	0	1437.27	756.33	
298	0	0	1151.35	644.86	
299	0	0	1278.53	700.92	
300	0	0	1528.29	1334.68	
301	0	0	1553.31	1418.29	
302	0	0	1507.45	1353.79	
303	0	0	1521.67	1330.77	
304	0	0	1472.33	745.8	
305	0	0	971.56	846.73	
306	0	0	1000.77	837.58	
307	0	0	1525.44	1300.66	
308	0	0	1522.61	1288.8	
309	0	0	967.26	901.89	
310	0	0	973.72	892.55	
311	0	0	985.91	1216.56	
312	0	0	1367.72	1354.23	
313	0	0	1133.6	898.9	
314	0	0	992.13	1291.38	
315	0	0	977.66	1277.53	
316	0	0	1179.73	1284.85	
317	0	0	1698.84	1263.43	
318	0	0	1726.52	1368.57	
319	0	0	1285.66	1242.39	
320	0	0	1388.84	807.67	
321	0	0	1366.43	631.96	
322	0	0	1352.71	663.72	
323	0	0	1628.85	817.34	
324	0	0	1499.59	1430.13	
325	0	0	1505.18	1415.79	
326	0	0	1199.29	1428.52	
327	0	0	840.86	1229.81	
328	0	0	812.2	1222.29	
329	0	0	791.1	1239.96	
330	0	0	826.95	1267.98	
331	0	0	483.71	1208.12	
332	0	0	739.99	1295.7	
333	0	0	888.43	977.59	
334	0	0	956.21	913.44	
335	0	0	1418.17	1189.42	
336	0	0	1071.99	956.47	
337	0	0	1123.81	914.86	
338	0	0	1011.62	799.12	
339	0	0	1607.51	1353.39	
340	0	0	825.86	788.89	
341	0	0	679.75	847.36	
342	0	0	784.89	1236.2	
343	0	0	1192.8	1064.61	
344	0	0	996.34	781.89	
345	0	0	973.31	794.4	
346	0	0	979.55	805.2	
347	0	0	1137.21	890.53	
348	0	0	1468.47	1188.4	
349	0	0	1481.14	1163.49	
350	0	0	1457.22	722.84	
351	0	0	1236.42	1035.61	
352	0	0	1294.8	1039.95	
353	0	0	1496.35	1118.57	
354	0	0	1551.35	1093.16	
355	0	0	1329.6	1348.67	
356	0	0	1047.42	729.7	
357	0	0	1278.46	781.16	
358	0	0	1272.13	784.94	
359	0	0	1258.45	726.8	
360	0	0	939.68	958.65	
361	0	0	1465.84	1149.97	
362	0	0	1092.89	706.45	
363	0	0	1515.83	1418.74	
364	0	0	1316.87	820.11	
365	0	0	1116.92	935.19	
366	0	0	1127.81	915.69	
367	0	0	1177.3	925.97	
368	0	0	1545.44	1154.65	
369	0	0	1577.18	1142.95	
370	0	0	1432.4	1346.61	
371	0	0	1379.2	1170.96	
372	0	0	1260	1073.6	
373	0	0	1306.17	971.29	
374	0	0	1324.33	940.79	
375	0	0	1055.83	1019.1	
376	0	0	951.12	815.7	
377	0	0	770.54	1218.69	
378	0	0	1629.26	1019.91	
379	0	0	1330.25	879.4	
380	0	0	1349.95	860.42	
381	0	0	1356.25	889.3	
382	0	0	1377.4	895.83	
383	0	0	906.86	684.58	
384	0	0	1476.75	732.92	
385	0	0	1450.89	1441.45	
386	0	0	870.68	1364.86	
387	0	0	875.71	1319.93	
388	0	0	834.65	1317.18	
389	0	0	1442.69	1136.6	
390	0	0	1622.23	1122.95	
391	0	0	1552.76	1164.65	
392	0	0	1586.3	1093.35	
393	0	0	1393.17	1174.21	
394	0	0	1595.77	975.14	
395	0	0	1048.9	1030.29	
396	0	0	1055.92	1161.96	
397	0	0	1110.98	1257.92	
398	0	0	1135.36	1174.82	
399	0	0	1428.24	842.46	
400	0	0	859.27	1235.36	
401	0	0	1628.44	1296.4	
402	0	0	1249.51	965.96	
403	0	0	1568.35	1078.2	
404	0	0	1316.69	893.39	
405	0	0	1321.62	887.45	
406	0	0	1087.16	962.47	
407	0	0	1180.34	1127.32	
408	0	0	1084.63	1152.64	
409	0	0	1429.48	1075.53	
410	0	0	1438.21	1079.83	
411	0	0	748.27	1248.54	
412	0	0	1735	1435.95	
413	0	0	456.5	1174.38	
414	0	0	1201.68	1342.42	
415	0	0	780.1	1185.47	
416	0	0	407.84	933.3	
417	0	0	1576.91	1058.8	
418	0	0	1697.56	879.98	
419	0	0	1569.36	1203.7	
420	0	0	859.72	1379.27	
421	0	0	1328.44	777.14	
422	0	0	578.63	1117.45	
423	0	0	1110.96	949.96	
424	0	0	1146.22	912.27	
425	0	0	1394.98	1421.7	
426	0	0	1265.42	935.21	
427	0	0	780.12	1330.1	
428	0	0	1310.62	921.65	
429	0	0	773.19	1215.88	
430	0	0	820.72	1351.15	
431	0	0	862.73	1276.47	
432	0	0	1209.29	1323.57	
433	0	0	596.6	725.35	
434	0	0	1596.44	1083.16	
435	0	0	1090.98	960.86	
436	0	0	1102.15	983.68	
437	0	0	1445.43	1150.4	
438	0	0	1072.1	778	
439	0	0	1461.97	1309.9	
440	0	0	1142.96	974.72	
441	0	0	1113.63	975.8	
442	0	0	546.52	1106.22	
443	0	0	882.74	1302.1	
444	0	0	1758.56	1391.6	
445	0	0	1545.6	1158.98	
446	0	0	1250.45	801.75	
447	0	0	1289.47	916.22	
448	0	0	1218.51	830.47	
					
----------EDGES----------					
INDEX-I	INDEX-J	QTY	IS-REQUIRED	TR-COST	
97	98	177	1	52	
99	100	60	1	26	
101	102	116	1	47	
103	6	40	1	29	
7	99	1	1	22	
104	105	37	1	20	
106	107	53	1	29	
108	109	46	1	30	
110	111	142	1	40	
105	112	42	1	6	
113	114	95	1	26	
115	116	98	1	41	
117	97	32	1	20	
118	119	48	1	12	
109	120	86	1	30	
121	122	97	1	11	
123	124	12	1	15	
125	126	52	1	87	
127	128	48	1	97	
129	123	77	1	16	
130	131	80	1	14	
132	133	93	1	34	
134	135	136	1	16	
136	86	23	1	30	
137	138	90	1	37	
27	139	26	1	57	
140	141	60	1	96	
142	143	46	1	16	
144	145	81	1	49	
33	146	106	1	12	
147	148	34	1	28	
149	150	50	1	40	
151	152	21	1	54	
119	153	83	1	16	
154	155	16	1	47	
86	156	31	1	31	
141	157	35	1	40	
158	159	126	1	21	
160	161	7	1	25	
136	162	4	1	37	
163	27	24	1	47	
49	164	74	1	12	
165	166	123	1	37	
167	168	143	1	53	
169	160	7	1	22	
170	171	104	1	25	
172	101	7	1	18	
173	174	13	1	42	
175	176	17	1	11	
177	178	118	1	33	
179	180	51	1	16	
181	182	35	1	23	
183	184	139	1	34	
128	126	7	1	42	
56	185	30	1	59	
186	36	68	1	48	
187	188	75	1	22	
189	140	100	1	25	
190	191	1	1	29	
192	193	120	1	15	
1	167	145	1	20	
162	156	7	1	29	
194	195	65	1	16	
196	197	31	1	21	
198	113	111	1	12	
199	124	63	1	26	
200	201	105	1	29	
202	203	143	1	45	
204	205	207	1	25	
206	62	7	1	12	
131	181	102	1	30	
207	208	51	1	39	
141	209	16	1	30	
210	211	172	1	16	
212	174	150	1	56	
213	214	69	1	21	
187	215	46	1	21	
60	216	126	1	10	
217	218	1	1	14	
219	220	92	1	24	
221	222	0	0	35	
223	40	0	0	12	
224	225	0	0	35	
226	227	0	0	18	
211	204	0	0	15	
96	228	0	0	67	
229	230	0	0	17	
231	232	0	0	16	
233	234	0	0	34	
233	211	0	0	15	
235	236	0	0	63	
237	238	0	0	70	
239	1	0	0	27	
1	54	0	0	58	
240	2	0	0	9	
241	242	0	0	22	
242	243	0	0	14	
244	245	0	0	55	
246	247	0	0	8	
248	249	0	0	18	
250	251	0	0	174	
252	167	0	0	14	
252	253	0	0	42	
168	254	0	0	6	
122	255	0	0	32	
256	257	0	0	8	
258	259	0	0	52	
260	261	0	0	11	
154	262	0	0	36	
212	3	0	0	35	
263	33	0	0	46	
137	4	0	0	8	
264	265	0	0	64	
266	251	0	0	108	
233	236	0	0	35	
237	266	0	0	121	
267	78	0	0	31	
247	268	0	0	20	
100	269	0	0	16	
270	187	0	0	23	
5	271	0	0	18	
220	272	0	0	3	
272	273	0	0	3	
264	274	0	0	4	
276	277	0	0	9	
278	279	0	0	71	
280	281	0	0	81	
101	282	0	0	30	
283	147	0	0	8	
235	284	0	0	13	
135	285	0	0	33	
286	287	0	0	13	
288	104	0	0	31	
6	110	0	0	27	
103	171	0	0	33	
242	289	0	0	12	
89	290	0	0	105	
291	292	0	0	24	
107	8	0	0	15	
8	294	0	0	12	
295	109	0	0	63	
290	151	0	0	134	
296	297	0	0	18	
298	299	0	0	80	
300	301	0	0	59	
302	303	0	0	17	
9	304	0	0	12	
305	306	0	0	19	
235	237	0	0	17	
122	165	0	0	15	
307	308	0	0	8	
292	307	0	0	19	
291	300	0	0	20	
309	310	0	0	8	
311	111	0	0	25	
105	130	0	0	18	
147	114	0	0	21	
100	60	0	0	29	
239	312	0	0	20	
313	106	0	0	3	
314	315	0	0	13	
170	316	0	0	22	
233	171	0	0	20	
311	315	0	0	38	
317	318	0	0	71	
306	120	0	0	6	
114	10	0	0	8	
10	319	0	0	28	
320	206	0	0	22	
286	11	0	0	9	
322	321	0	0	27	
323	175	0	0	25	
324	325	0	0	11	
160	86	0	0	5	
284	116	0	0	29	
238	326	0	0	24	
327	328	0	0	25	
329	330	0	0	28	
331	332	0	0	159	
220	159	0	0	45	
333	334	0	0	57	
309	334	0	0	11	
267	335	0	0	17	
286	320	0	0	18	
240	277	0	0	16	
336	201	0	0	20	
295	337	0	0	17	
290	12	0	0	46	
338	142	0	0	11	
258	278	0	0	26	
123	201	0	0	51	
339	191	0	0	49	
340	341	0	0	121	
290	51	0	0	56	
342	13	0	0	17	
343	228	0	0	52	
344	14	0	0	5	
142	14	0	0	12	
345	346	0	0	9	
347	224	0	0	43	
348	349	0	0	18	
9	350	0	0	8	
5	15	0	0	16	
264	351	0	0	19	
352	16	0	0	31	
267	135	0	0	7	
17	353	0	0	35	
17	354	0	0	8	
113	355	0	0	59	
244	356	0	0	36	
207	22	0	0	57	
350	172	0	0	15	
357	358	0	0	5	
358	359	0	0	29	
129	360	0	0	5	
351	227	0	0	30	
306	30	0	0	21	
192	361	0	0	16	
111	166	0	0	14	
103	116	0	0	33	
110	115	0	0	13	
339	18	0	0	25	
356	362	0	0	36	
325	363	0	0	8	
324	363	0	0	15	
19	20	0	0	9	
289	354	0	0	33	
255	155	0	0	55	
257	21	0	0	6	
21	364	0	0	27	
365	366	0	0	16	
117	362	0	0	6	
98	224	0	0	38	
367	214	0	0	15	
249	347	0	0	13	
168	319	0	0	11	
368	369	0	0	18	
369	23	0	0	29	
252	285	0	0	34	
278	317	0	0	29	
99	134	0	0	25	
275	128	0	0	236	
112	184	0	0	45	
112	24	0	0	6	
322	299	0	0	41	
239	370	0	0	24	
10	25	0	0	37	
283	25	0	0	5	
253	371	0	0	27	
227	372	0	0	3	
11	26	0	0	43	
373	374	0	0	21	
375	200	0	0	14	
125	28	0	0	47	
376	208	0	0	50	
269	135	0	0	25	
377	29	0	0	27	
346	30	0	0	7	
17	31	0	0	14	
247	371	0	0	33	
356	180	0	0	14	
345	376	0	0	25	
253	254	0	0	40	
378	32	0	0	9	
305	340	0	0	112	
319	355	0	0	78	
379	380	0	0	14	
26	381	0	0	11	
374	382	0	0	38	
340	383	0	0	116	
118	228	0	0	12	
299	34	0	0	18	
100	308	0	0	21	
180	143	0	0	16	
350	384	0	0	13	
165	150	0	0	25	
35	157	0	0	16	
310	199	0	0	37	
7	368	0	0	21	
178	385	0	0	17	
314	144	0	0	34	
386	36	0	0	16	
36	387	0	0	19	
145	186	0	0	11	
37	388	0	0	54	
296	304	0	0	21	
304	384	0	0	10	
207	383	0	0	50	
14	346	0	0	19	
288	389	0	0	7	
38	390	0	0	31	
390	39	0	0	14	
390	391	0	0	46	
392	391	0	0	51	
298	362	0	0	57	
40	393	0	0	21	
32	394	0	0	34	
154	163	0	0	72	
121	395	0	0	28	
86	162	0	0	11	
9	297	0	0	37	
396	149	0	0	14	
121	149	0	0	66	
397	398	0	0	45	
145	41	0	0	40	
11	399	0	0	13	
169	400	0	0	31	
250	42	0	0	54	
207	217	0	0	14	
401	61	0	0	36	
359	299	0	0	18	
127	28	0	0	6	
43	402	0	0	16	
16	44	0	0	25	
369	31	0	0	25	
98	359	0	0	39	
31	403	0	0	33	
404	405	0	0	5	
325	45	0	0	17	
262	152	0	0	78	
200	406	0	0	43	
279	391	0	0	16	
398	407	0	0	33	
398	408	0	0	33	
409	410	0	0	6	
409	46	0	0	7	
12	94	0	0	41	
261	411	0	0	31	
315	161	0	0	6	
412	318	0	0	49	
166	396	0	0	26	
303	307	0	0	18	
89	413	0	0	10	
201	108	0	0	4	
292	61	0	0	38	
172	222	0	0	5	
204	414	0	0	30	
234	414	0	0	4	
283	316	0	0	5	
262	333	0	0	7	
163	415	0	0	36	
327	400	0	0	14	
381	382	0	0	16	
225	47	0	0	19	
281	395	0	0	26	
246	159	0	0	29	
27	400	0	0	32	
377	415	0	0	23	
243	417	0	0	31	
95	418	0	0	23	
175	95	0	0	25	
419	259	0	0	5	
279	259	0	0	10	
228	153	0	0	44	
89	331	0	0	34	
132	420	0	0	7	
389	223	0	0	15	
357	421	0	0	31	
302	370	0	0	45	
143	87	0	0	20	
241	403	0	0	10	
48	49	0	0	17	
422	50	0	0	56	
2	256	0	0	36	
276	380	0	0	11	
39	392	0	0	13	
363	301	0	0	29	
287	399	0	0	9	
351	44	0	0	12	
374	81	0	0	9	
423	197	0	0	3	
367	424	0	0	25	
325	178	0	0	26	
425	177	0	0	24	
312	425	0	0	52	
288	361	0	0	13	
404	52	0	0	14	
26	380	0	0	15	
13	411	0	0	10	
246	219	0	0	21	
274	44	0	0	16	
294	337	0	0	55	
313	366	0	0	11	
294	109	0	0	19	
125	38	0	0	22	
40	158	0	0	8	
317	28	0	0	49	
372	202	0	0	37	
378	164	0	0	35	
253	53	0	0	8	
312	355	0	0	25	
295	55	0	0	31	
295	365	0	0	3	
394	56	0	0	41	
418	185	0	0	11	
104	410	0	0	15	
353	229	0	0	16	
245	22	0	0	39	
33	410	0	0	16	
140	183	0	0	20	
371	158	0	0	19	
337	366	0	0	3	
270	274	0	0	14	
270	402	0	0	24	
53	268	0	0	34	
365	197	0	0	9	
3	181	0	0	16	
212	181	0	0	20	
426	213	0	0	18	
323	174	0	0	23	
316	57	0	0	8	
329	342	0	0	5	
260	427	0	0	23	
352	195	0	0	9	
170	19	0	0	10	
6	19	0	0	23	
110	397	0	0	44	
256	379	0	0	18	
308	419	0	0	62	
52	428	0	0	19	
311	139	0	0	23	
144	41	0	0	16	
305	310	0	0	29	
285	78	0	0	28	
342	429	0	0	15	
254	268	0	0	20	
155	27	0	0	68	
313	347	0	0	6	
106	337	0	0	11	
29	94	0	0	49	
386	430	0	0	36	
272	352	0	0	20	
151	341	0	0	9	
431	58	0	0	15	
257	405	0	0	18	
421	59	0	0	7	
157	173	0	0	18	
385	293	0	0	28	
234	432	0	0	19	
402	426	0	0	23	
48	434	0	0	27	
149	408	0	0	6	
280	408	0	0	11	
269	54	0	0	32	
378	48	0	0	11	
184	409	0	0	4	
423	435	0	0	15	
265	436	0	0	20	
2	276	0	0	17	
240	421	0	0	32	
136	161	0	0	5	
244	87	0	0	23	
333	360	0	0	37	
385	177	0	0	20	
20	397	0	0	14	
258	401	0	0	18	
389	437	0	0	9	
360	88	0	0	40	
225	438	0	0	11	
117	438	0	0	59	
370	439	0	0	34	
55	435	0	0	10	
336	55	0	0	4	
305	376	0	0	24	
335	393	0	0	16	
32	185	0	0	90	
140	194	0	0	18	
249	424	0	0	14	
354	403	0	0	16	
266	420	0	0	21	
419	61	0	0	43	
213	188	0	0	21	
153	436	0	0	3	
341	433	0	0	86	
250	331	0	0	14	
275	412	0	0	47	
324	293	0	0	16	
248	214	0	0	6	
222	62	0	0	36	
251	332	0	0	3	
260	332	0	0	33	
273	140	0	0	33	
427	430	0	0	34	
281	118	0	0	18	
241	417	0	0	6	
263	189	0	0	27	
334	124	0	0	23	
18	401	0	0	22	
29	63	0	0	24	
215	440	0	0	10	
265	440	0	0	9	
440	441	0	0	20	
89	442	0	0	107	
442	64	0	0	15	
435	436	0	0	16	
348	134	0	0	10	
344	345	0	0	19	
297	15	0	0	8	
156	443	0	0	6	
377	429	0	0	3	
326	425	0	0	103	
146	223	0	0	6	
382	399	0	0	42	
407	202	0	0	7	
379	405	0	0	7	
424	196	0	0	9	
8	47	0	0	23	
306	338	0	0	23	
338	47	0	0	48	
169	443	0	0	16	
236	210	0	0	14	
287	271	0	0	21	
296	271	0	0	25	
309	201	0	0	55	
444	65	0	0	8	
202	66	0	0	21	
387	388	0	0	33	
148	432	0	0	5	
171	148	0	0	37	
426	67	0	0	16	
386	68	0	0	27	
186	68	0	0	20	
133	68	0	0	15	
343	372	0	0	40	
343	203	0	0	4	
200	88	0	0	53	
388	58	0	0	19	
330	37	0	0	16	
348	192	0	0	14	
361	349	0	0	13	
439	69	0	0	5	
352	226	0	0	9	
38	39	0	0	26	
179	438	0	0	14	
12	422	0	0	17	
344	143	0	0	26	
411	429	0	0	22	
394	164	0	0	7	
388	70	0	0	21	
415	71	0	0	13	
387	443	0	0	13	
335	193	0	0	10	
383	208	0	0	46	
217	208	0	0	82	
414	198	0	0	10	
284	41	0	0	12	
302	45	0	0	26	
3	209	0	0	16	
115	314	0	0	22	
391	445	0	0	6	
119	375	0	0	12	
336	406	0	0	10	
406	435	0	0	3	
419	445	0	0	26	
368	445	0	0	3	
413	72	0	0	21	
137	284	0	0	17	
289	130	0	0	16	
373	194	0	0	19	
263	183	0	0	15	
185	91	0	0	51	
238	210	0	0	16	
169	431	0	0	12	
358	73	0	0	3	
357	446	0	0	24	
108	55	0	0	22	
199	108	0	0	12	
373	67	0	0	14	
426	447	0	0	18	
404	447	0	0	22	
428	447	0	0	14	
12	442	0	0	27	
153	406	0	0	16	
328	71	0	0	26	
417	92	0	0	9	
416	51	0	0	29	
367	215	0	0	27	
381	52	0	0	16	
330	74	0	0	20	
437	193	0	0	24	
192	437	0	0	13	
371	393	0	0	9	
322	221	0	0	15	
243	131	0	0	17	
23	434	0	0	8	
318	444	0	0	38	
